problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,3.77%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.150,7.9453125,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.110,2.84765625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.370,1.5546875,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,14.29%,0.330,22.5625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,5,5.00%,23.08%,4.840,8.7890625,,0,0,0,0,0,5.0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,60,60.00%,52.82%,0.140,9.29296875,,0.0,23.0,0,0,0,10.0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.240,1.81640625,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,0,0.00%,21.00%,0.160,7.359375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,RUNTIME_ERROR,13,13.00%,10.11%,0.140,2.5859375,,0,0,0,0,0,13.0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.600,141.54296875,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,55,55.00%,92.16%,2.410,100.38671875,,0.0,8.0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.470,2.87890625,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,15.00%,60.19%,2.420,33.76171875,,0.0,8.0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,68,68.00%,98.88%,0.160,11.171875,,0.0,17.0,0,0,0,13.0,12.0,26.0,0,0,0,0,0
TOTAL,,720,,52.31%,,,29.41%,,,,,,,,,,,,,
