problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,deepseek-chat,TIME_LIMIT_EXCEEDED,0,0.00%,9.21%,2.410,14.96484375
2024-sp_Ski_2,deepseek-chat,RUNTIME_ERROR,0,0.00%,1.69%,0.150,0.00390625
2024-sp_Spy_3,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,deepseek-chat,MEMORY_LIMIT_EXCEEDED,0,0.00%,2.56%,0.460,1227.44921875
2024-sp_Tricolor_Lights,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,deepseek-chat,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.980,25.9765625
2024-sp_Card_Collection,deepseek-chat,RUNTIME_ERROR,0,0.00%,3.10%,0.000,0
2024-sp_JOI_Tour,deepseek-chat,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.690,34.3046875
2024-sp_Tower,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,deepseek-chat,RUNTIME_ERROR,0,0.00%,4.59%,0.210,4.7109375
2024-sp_Island_Hopping,deepseek-chat,RUNTIME_ERROR,0,0.00%,0.86%,0.160,1.55078125
2024-sp_Table_Tennis,deepseek-chat,RUNTIME_ERROR,0,0.00%,0.92%,0.160,0.00390625
