problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.070,5.6796875,,15,20,35,0,0
baltazar,RUNTIME_ERROR,30,32.81%,0.500,84.37109375,,0,30,0,0,0
bomboni,ACCEPTED,110,100.00%,0.170,3.35546875,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,0.330,38.16015625,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,0.170,12.90234375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,0.040,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,21,65.00%,0.490,240.65625,,21,0,0,0,0
zastave,ACCEPTED,110,100.00%,0.060,1.81640625,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,0.000,0,,17,26,7,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.020,0.00390625,,15,20,0,0,0
bojanje,ACCEPTED,110,100.00%,0.020,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,0.860,58.26953125,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,0.100,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.020,0,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,ACCEPTED,110,100.00%,0.490,13.15625,,26,12,35,37,0
prijateljice,ACCEPTED,110,100.00%,0.030,7.484375,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.070,2.84765625,,15,20,35,0,0
berilij,RUNTIME_ERROR,45,79.55%,0.190,19.23046875,,15,0,30,0,0
iksevi,ACCEPTED,110,100.00%,0.370,42.2109375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,0.170,12.90234375,,11,22,27,18,32
TOTAL,,1801,84.69%,,,76.00%,,,,,
