competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2617,1823,2843,511,4322,7549,905,214
APIO-2023,0,0,1,1,7,15,0,0
APIO-2024,0,0,0,0,21,3,0,0
BOI-2023,0,0,6,0,7,34,0,1
BOI-2024,0,0,3,1,8,36,0,0
BOI-2025,0,0,6,0,11,24,7,0
CCO-2023,32,0,19,2,14,58,3,0
CCO-2024,52,0,4,2,12,50,1,7
CEOI-2023,0,0,6,2,17,20,3,0
CEOI-2024,0,0,5,1,19,23,0,0
COCI-2023,48,0,16,0,38,88,4,6
COCI-2024,60,6,16,4,43,70,0,1
COCI-2025,58,0,15,1,33,79,13,1
EGOI-2023,8,0,6,1,2,33,14,0
EGOI-2024,0,0,4,4,4,47,5,0
EJOI-2023,0,0,21,0,12,13,2,0
EJOI-2024,3,0,2,0,21,22,0,0
IATI-2024,8,7,15,2,10,30,12,4
IOI-2023,0,0,1,0,28,19,0,0
IOI-2024,0,0,8,1,20,19,0,0
JOI-2023,5,0,15,7,41,90,2,0
JOI-2024,2,0,16,3,49,87,1,2
NOINordic-2023,2,0,5,3,3,9,2,0
NOINordic-2024,0,0,3,1,1,18,1,0
NOINordic-2025,1,0,7,0,8,8,0,0
OOI-2023,13,0,13,7,2,74,25,2
OOI-2024,18,0,22,4,0,65,27,0
RMI-2023,0,0,2,0,37,7,2,0
RMI-2024,0,0,4,0,9,26,9,0
USACO-2023,69,102,70,17,74,51,0,1
USACO-2024,41,81,83,10,70,93,0,6
USACO-2025,30,67,45,8,74,60,0,4
