problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.150,4.90625,,15,20,35,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.070,1.578125,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.200,3.35546875,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,0.370,53.30859375,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,RUNTIME_ERROR,0,0.00%,0.050,7.2265625,,0,0,0,0,0
logaritam,ACCEPTED,110,100.00%,0.030,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,1.180,193.109375,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,0.090,2.07421875,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,0.000,0,,17,26,7,0,0
zrinka,ACCEPTED,70,100.00%,0.210,96.69140625,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,0.000,0,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,1.130,35.41796875,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,0.130,5.1875,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.000,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,12,16.67%,3.310,5.94921875,,0,12,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.040,13.87109375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.100,2.84375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,4.55%,0.160,13.16015625,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,0.460,39.3984375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,0.250,12.90234375,,11,22,27,18,32
TOTAL,,1682,76.85%,,,76.00%,,,,,
