problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.130,2.0703125,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,22,0.00%,0.140,1.953125,,3.9665,3.5210799999999995,2.9766,2.59769,2.2617000000000003,1.86315,1.5926,1.34479,1.04265,0.83012
travel,MEMORY_LIMIT_EXCEEDED,0,1.20%,0.710,272.49609375,,0,0,0,0,0,0,0,0,0,0
aquarelle,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
parentheses,RUNTIME_ERROR,0,3.10%,0.120,3.66015625,,0,0,0,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,22,1.06%,,,0.00%,,,,,,,,,,
