Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,fire,fire_rel,jobs,jobs_rel,portal,portal_rel,tiles,tiles_rel,trains,trains_rel,wall,wall_rel
gemini-2.5-pro,390.00,65.00%,71.26%,50.00%,0.560,77.06,6,100.00,100.00%,11.00,11.00%,55.00,55.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-5,375.00,62.50%,74.06%,50.00%,0.190,28.19,6,100.00,100.00%,11.00,11.00%,40.00,40.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-high,375.00,62.50%,73.06%,50.00%,0.238,29.77,6,100.00,100.00%,11.00,11.00%,40.00,40.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-medium,356.00,59.33%,65.67%,50.00%,0.158,28.39,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp1,356.00,59.33%,65.67%,50.00%,0.167,30.73,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp4,356.00,59.33%,66.89%,50.00%,0.170,30.10,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp2,336.00,56.00%,61.59%,50.00%,0.172,27.36,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,4.00,4.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp3,336.00,56.00%,60.60%,50.00%,0.203,40.90,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,4.00,4.00%,100.00,100.00%,100.00,100.00%
seed-oss_-1,336.00,56.00%,60.72%,50.00%,0.858,53.34,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,4.00,4.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-high,332.00,55.33%,61.94%,50.00%,0.178,34.50,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-medium,332.00,55.33%,59.38%,50.00%,0.360,41.56,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,282.00,47.00%,57.42%,33.33%,0.358,80.24,6,100.00,100.00%,11.00,11.00%,11.00,11.00%,4.00,4.00%,100.00,100.00%,56.00,56.00%
grok-4-fast-reasoning,266.00,44.33%,67.41%,16.67%,0.432,87.15,6,40.00,40.00%,11.00,11.00%,21.00,21.00%,24.00,24.00%,100.00,100.00%,70.00,70.00%
gpt-oss-120b-low,232.00,38.67%,47.95%,33.33%,0.118,27.67,6,100.00,100.00%,11.00,11.00%,21.00,21.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
gemini-2.5-flash,229.00,38.17%,59.43%,16.67%,1.263,65.90,6,0.00,0.00%,0.00,0.00%,55.00,55.00%,4.00,4.00%,100.00,100.00%,70.00,70.00%
seed-oss_8192,226.00,,41.82%,33.33%,0.123,52.21,6,100.00,,11.00,,11.00,,4.00,,100.00,,0.00,
claude-sonnet-4.5,213.00,35.50%,61.07%,0.00%,1.827,28.96,6,40.00,40.00%,11.00,11.00%,55.00,55.00%,0.00,0.00%,37.00,37.00%,70.00,70.00%
Qwen3-32B,208.00,,54.03%,16.67%,0.438,53.54,6,100.00,,0.00,,11.00,,4.00,,37.00,,56.00,
seed-oss_16384,193.00,,44.32%,16.67%,0.457,35.52,6,100.00,,11.00,,11.00,,0.00,,71.00,,0.00,
Qwen3-30B,142.00,,36.99%,16.67%,0.267,5.16,6,100.00,,0.00,,1.00,,4.00,,37.00,,0.00,
deepseek-reasoner,113.00,18.83%,40.39%,0.00%,0.435,7.24,6,40.00,40.00%,11.00,11.00%,21.00,21.00%,4.00,4.00%,37.00,37.00%,0.00,0.00%
gpt-4.1,84.00,14.00%,47.32%,0.00%,1.272,63.44,6,0.00,0.00%,11.00,11.00%,11.00,11.00%,0.00,0.00%,37.00,37.00%,25.00,25.00%
gpt-oss-20b-low,51.00,8.50%,26.33%,0.00%,0.448,15.23,6,40.00,40.00%,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,47.00,,28.86%,0.00%,0.227,6.27,6,0.00,,11.00,,11.00,,4.00,,21.00,,0.00,
seed-oss_4096,40.00,,16.29%,0.00%,0.205,1.64,6,40.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,32.00,5.33%,24.96%,0.00%,0.247,2.24,6,0.00,0.00%,0.00,0.00%,11.00,11.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen2.5-72B,32.00,,22.28%,0.00%,0.250,6.10,6,0.00,,11.00,,0.00,,0.00,,21.00,,0.00,
Mistral-Large-Instruct-2411,30.00,5.00%,29.48%,0.00%,0.585,25.70,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,8.00,8.00%
DeepSeek-R1-Distill-Qwen-32B,26.00,,16.40%,0.00%,0.387,1.76,6,0.00,,0.00,,1.00,,4.00,,21.00,,0.00,
Llama-4-Scout,22.00,3.67%,16.60%,0.00%,0.113,83.75,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,22.00,3.67%,24.97%,0.00%,0.247,5.33,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,22.00,,24.87%,0.00%,0.250,7.70,6,0.00,,0.00,,1.00,,0.00,,21.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,22.00,,20.08%,0.00%,0.395,1.88,6,0.00,,0.00,,1.00,,0.00,,21.00,,0.00,
Qwen3-4B-Non-Thinking,22.00,3.67%,15.20%,0.00%,0.417,1.42,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-4B,22.00,3.67%,22.64%,0.00%,0.440,3.33,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
OlympicCoder-7B,22.00,3.67%,22.80%,0.00%,0.625,12.69,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-14B,22.00,,26.36%,0.00%,1.323,7.93,6,0.00,,0.00,,1.00,,0.00,,21.00,,0.00,
Llama-3.3-70B-Instruct,21.00,,20.30%,0.00%,0.210,1.37,6,0.00,,0.00,,0.00,,0.00,,21.00,,0.00,
Mistral-Small-3.1-24B-2503,21.00,3.50%,15.68%,0.00%,0.215,1.17,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-8B,21.00,3.50%,21.00%,0.00%,0.220,1.73,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,21.00,3.50%,13.27%,0.00%,0.230,1.38,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,21.00,3.50%,14.26%,0.00%,0.235,2.59,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,21.00,3.50%,20.71%,0.00%,0.413,1.85,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,21.00,21.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,9.00,1.50%,15.64%,0.00%,0.273,4.73,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,0.00,0.00%,8.00,8.00%
deepseek-chat,8.00,1.33%,21.08%,0.00%,0.455,27.69,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,8.00,8.00%
seed-oss_0,1.00,,3.13%,0.00%,0.013,3.98,6,0.00,,0.00,,1.00,,0.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,1.00,0.17%,10.59%,0.00%,0.053,2.23,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,1.00,0.17%,1.98%,0.00%,0.217,3.40,6,0.00,0.00%,0.00,0.00%,1.00,1.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,2.21%,0.00%,0.008,1.29,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,1.85%,0.00%,0.008,1.29,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
