problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.030,1.5546875,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.010,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.550,85.4140625,,21,37,22,40,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.240,3.359375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.410,92.87109375,,7,11,17,29,26,0
crtez,ACCEPTED,120,100.00%,100.00%,0.260,33.6328125,,20,55,45,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,1.500,249.41015625,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.020,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.050,6.1796875,,15,30,25,0,0,0
cipele,ACCEPTED,120,100.00%,100.00%,0.510,47.44140625,,17,27,37,24,15,0
tura,TIME_LIMIT_EXCEEDED,11,9.17%,30.22%,0.620,613.46875,,11,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.050,1.54296875,,6,13,23,28,0,0
razlicitost,ACCEPTED,90,100.00%,100.00%,0.440,10.5859375,,25,13,9,43,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.010,1.5,,20,25,55,20,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.080,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.210,16.171875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,50,41.67%,54.10%,0.440,26.01953125,,0,15,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.160,52.46484375,,13,18,34,15,40,0
TOTAL,,1651,,90.46%,,,86.36%,,,,,,
