competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-R1-Distill-Llama-70B,17722,30.04%,0.67,54.97,13.32%
APIO-2023,DeepSeek-R1-Distill-Llama-70B,97,28.07%,1.59,229.05,0.00%
APIO-2024,DeepSeek-R1-Distill-Llama-70B,50,22.62%,0.31,7.84,0.00%
BOI-2023,DeepSeek-R1-Distill-Llama-70B,19,22.97%,0.04,0.52,0.00%
BOI-2024,DeepSeek-R1-Distill-Llama-70B,32,24.96%,0.25,2.24,0.00%
BOI-2025,DeepSeek-R1-Distill-Llama-70B,0,3.31%,0.42,39.66,0.00%
CCO-2023,DeepSeek-R1-Distill-Llama-70B,77,35.44%,0.52,17.89,25.00%
CCO-2024,DeepSeek-R1-Distill-Llama-70B,130,51.21%,0.43,17.11,50.00%
CEOI-2023,DeepSeek-R1-Distill-Llama-70B,0,0.91%,0.11,0.53,0.00%
CEOI-2024,DeepSeek-R1-Distill-Llama-70B,6,23.23%,1.36,128.35,0.00%
COCI-2023,DeepSeek-R1-Distill-Llama-70B,718,38.35%,0.15,17.45,32.00%
COCI-2024,DeepSeek-R1-Distill-Llama-70B,842,45.68%,0.32,36.24,40.00%
COCI-2025,DeepSeek-R1-Distill-Llama-70B,534,32.07%,0.17,22.05,28.00%
EGOI-2023,DeepSeek-R1-Distill-Llama-70B,119,23.70%,0.52,3.75,12.50%
EGOI-2024,DeepSeek-R1-Distill-Llama-70B,54,25.35%,0.65,154.18,0.00%
EJOI-2023,DeepSeek-R1-Distill-Llama-70B,16,6.22%,0.61,9.83,0.00%
EJOI-2024,DeepSeek-R1-Distill-Llama-70B,123,31.38%,0.54,11.26,16.67%
IATI-2024,DeepSeek-R1-Distill-Llama-70B,193,22.88%,0.38,99.47,9.09%
IOI-2023,DeepSeek-R1-Distill-Llama-70B,13,10.41%,0.40,9.09,0.00%
IOI-2024,DeepSeek-R1-Distill-Llama-70B,62,31.53%,0.83,414.61,0.00%
JOI-2023,DeepSeek-R1-Distill-Llama-70B,178,25.35%,0.56,3.93,5.26%
JOI-2024,DeepSeek-R1-Distill-Llama-70B,120,14.45%,0.12,2.15,5.00%
JOI-2025,DeepSeek-R1-Distill-Llama-70B,128,49.70%,0.89,312.65,25.00%
NOINordic-2023,DeepSeek-R1-Distill-Llama-70B,179,72.93%,0.54,12.34,33.33%
NOINordic-2024,DeepSeek-R1-Distill-Llama-70B,43,45.61%,0.53,4.03,0.00%
NOINordic-2025,DeepSeek-R1-Distill-Llama-70B,100,36.95%,3.79,9.30,33.33%
OOI-2023,DeepSeek-R1-Distill-Llama-70B,486,42.52%,0.45,38.82,11.76%
OOI-2024,DeepSeek-R1-Distill-Llama-70B,568,48.20%,1.55,9.73,23.53%
RMI-2023,DeepSeek-R1-Distill-Llama-70B,8,9.10%,0.64,1.35,0.00%
RMI-2024,DeepSeek-R1-Distill-Llama-70B,179,40.25%,0.45,60.07,16.67%
USACO-2023,DeepSeek-R1-Distill-Llama-70B,6043,41.26%,1.01,35.44,27.08%
USACO-2024,DeepSeek-R1-Distill-Llama-70B,3669,26.58%,0.64,27.80,12.50%
USACO-2025,DeepSeek-R1-Distill-Llama-70B,2936,28.23%,0.54,20.16,19.44%
