competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1760,1947,3495,585,7597,7536,1134,402
APIO-2023,0,0,7,0,6,9,2,0
APIO-2024,0,0,2,1,14,7,0,0
BOI-2023,0,0,4,0,14,30,0,0
BOI-2024,0,0,4,0,23,20,0,1
BOI-2025,0,0,10,0,11,22,4,1
CCO-2023,25,0,28,1,39,32,2,1
CCO-2024,51,0,7,1,19,40,3,7
CEOI-2023,0,0,3,1,14,28,1,1
CEOI-2024,0,0,8,0,22,18,0,0
COCI-2023,29,0,9,2,59,91,7,3
COCI-2024,27,5,26,3,76,61,0,2
COCI-2025,24,0,12,2,80,68,12,2
EGOI-2023,2,0,3,0,7,34,17,1
EGOI-2024,0,0,0,1,20,36,7,0
EJOI-2023,0,0,25,0,16,4,3,0
EJOI-2024,2,0,12,1,19,14,0,0
IATI-2024,1,8,21,7,18,25,6,2
IOI-2023,0,0,3,0,7,38,0,0
IOI-2024,0,0,7,2,9,25,0,5
JOI-2023,3,0,14,1,46,80,3,5
JOI-2024,1,0,8,3,71,66,1,10
JOI-2025,3,0,3,2,13,11,0,0
NOINordic-2023,3,0,5,2,5,5,4,0
NOINordic-2024,0,0,3,0,1,19,1,0
NOINordic-2025,1,0,6,0,11,6,0,0
OOI-2023,8,0,37,8,4,47,29,3
OOI-2024,8,0,26,0,0,55,44,3
RMI-2023,0,0,7,2,24,8,7,0
RMI-2024,1,0,6,1,12,18,5,5
USACO-2023,38,88,54,18,135,50,0,1
USACO-2024,18,86,63,10,130,74,0,3
USACO-2025,28,74,47,13,84,40,0,2
