problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,ACCEPTED,50,100.00%,0.020,0,,11,39,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.060,1.55078125,,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.100,16.24609375,,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.020,0,,7,19,24,0
diskurs,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
logaritam,RUNTIME_ERROR,0,2.44%,0.020,0.00390625,,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.020,0,,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0
zrinka,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
vrsta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
tramvaji,ACCEPTED,50,100.00%,0.020,0,,12,13,25,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
prijateljice,RUNTIME_ERROR,0,8.00%,0.000,0,,0,0,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0
cokolade,RUNTIME_ERROR,0,0.00%,0.050,2.84765625,,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.080,9.2890625,,0,0,0,0
iksevi,RUNTIME_ERROR,0,0.00%,0.150,20.375,,0,0,0,0
neboderi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
TOTAL,,200,16.61%,,,16.00%,,,,
