problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,0,4.92%,1.880,2.88671875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.150,1.953125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,0.00%,0.220,35.78125,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,35.40%,0.110,0,,0,0,0,0,0,0,0,0,0,0
parentheses,RUNTIME_ERROR,0,3.10%,0.340,3.37109375,,0,0,0,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.140,3.26953125,,0,0,0,0,0,0,0,0,0,0
TOTAL,,25,4.34%,,,0.00%,,,,,,,,,,
