Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Farmer_Johns_Cheese_Block,bronze_Farmer_Johns_Cheese_Block_rel,bronze_Its_Mooin_Time,bronze_Its_Mooin_Time_rel,bronze_Roundabout_Rounding,bronze_Roundabout_Rounding_rel,gold_Cowdependence,gold_Cowdependence_rel,gold_Interstellar_Intervals,gold_Interstellar_Intervals_rel,gold_Job_Completion,gold_Job_Completion_rel,platinum_All_Pairs_Similarity,platinum_All_Pairs_Similarity_rel,platinum_Its_Mooin_Time,platinum_Its_Mooin_Time_rel,platinum_Maximize_Minimum_Difference,platinum_Maximize_Minimum_Difference_rel,silver_2D_Conveyor_Belt,silver_2D_Conveyor_Belt_rel,silver_Cake_Game,silver_Cake_Game_rel,silver_Deforestation,silver_Deforestation_rel
gpt-5,3365.00,,84.95%,75.00%,0.230,26.93,12,333.00,,333.00,,333.00,,228.00,,333.00,,333.00,,333.00,,119.00,,21.00,,333.00,,333.00,,333.00,
gpt-oss-120b-high,3124.00,,79.86%,75.00%,0.339,11.13,12,333.00,,333.00,,333.00,,35.00,,333.00,,333.00,,333.00,,71.00,,21.00,,333.00,,333.00,,333.00,
gpt-oss-20b-high,2688.00,,75.20%,72.73%,0.563,15.58,11,333.00,,333.00,,333.00,,0.00,,0.00,,333.00,,333.00,,24.00,,N/A,,333.00,,333.00,,333.00,
gemini-2.5-pro,2638.00,,69.35%,58.33%,0.773,13.06,12,333.00,,333.00,,333.00,,105.00,,333.00,,333.00,,0.00,,48.00,,21.00,,133.00,,333.00,,333.00,
seed-oss_8192,2521.00,,65.79%,58.33%,0.278,34.20,12,333.00,,333.00,,333.00,,0.00,,50.00,,333.00,,48.00,,71.00,,21.00,,333.00,,333.00,,333.00,
gpt-oss-120b-medium,2509.00,63.73%,63.48%,58.33%,0.154,9.34,12,333.00,100.91%,333.00,100.91%,333.00,102.78%,333.00,103.10%,0.00,0.00%,333.00,100.91%,0.00,0.00%,24.00,7.45%,21.00,6.56%,133.00,40.30%,333.00,100.91%,333.00,100.91%
seed-oss_-1,2448.00,,64.03%,58.33%,0.557,9.31,12,333.00,,333.00,,333.00,,0.00,,333.00,,333.00,,48.00,,48.00,,21.00,,0.00,,333.00,,333.00,
gpt-o3-mini-high,2255.00,,60.82%,50.00%,0.511,19.99,12,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,48.00,,71.00,,21.00,,0.00,,333.00,,333.00,
seed-oss_16384,2238.00,,58.97%,50.00%,0.751,21.54,12,333.00,,333.00,,333.00,,123.00,,0.00,,333.00,,48.00,,48.00,,21.00,,0.00,,333.00,,333.00,
gemini-2.5-flash,2177.00,,60.04%,41.67%,1.224,53.55,12,333.00,,333.00,,333.00,,193.00,,50.00,,333.00,,0.00,,48.00,,21.00,,133.00,,333.00,,67.00,
deepseek-reasoner,2144.00,,57.68%,50.00%,0.714,8.90,12,333.00,,333.00,,333.00,,0.00,,50.00,,333.00,,48.00,,48.00,,0.00,,0.00,,333.00,,333.00,
gpt-oss-20b-medium,2057.00,,58.52%,54.55%,0.341,26.51,11,333.00,,333.00,,333.00,,35.00,,0.00,,333.00,,0.00,,24.00,,N/A,,0.00,,333.00,,333.00,
gpt-oss-120b-low,2022.00,,52.17%,50.00%,0.412,13.11,12,333.00,,333.00,,0.00,,0.00,,0.00,,333.00,,0.00,,24.00,,0.00,,333.00,,333.00,,333.00,
seed-oss_4096,1689.00,,42.59%,41.67%,0.136,4.31,12,333.00,,333.00,,0.00,,0.00,,0.00,,333.00,,0.00,,24.00,,0.00,,0.00,,333.00,,333.00,
Qwen3-14B,1610.00,,45.17%,33.33%,0.993,7.74,12,333.00,,333.00,,333.00,,35.00,,50.00,,67.00,,48.00,,24.00,,21.00,,0.00,,33.00,,333.00,
Qwen3-8B,1541.00,,42.16%,33.33%,0.505,4.40,12,333.00,,333.00,,333.00,,35.00,,50.00,,67.00,,0.00,,24.00,,0.00,,0.00,,33.00,,333.00,
gpt-4.1,1483.00,,43.28%,25.00%,1.251,43.71,12,333.00,,333.00,,83.00,,0.00,,117.00,,22.00,,48.00,,48.00,,0.00,,133.00,,33.00,,333.00,
Qwen3-32B,1469.00,,42.50%,25.00%,1.077,7.41,12,333.00,,33.00,,333.00,,35.00,,50.00,,22.00,,95.00,,48.00,,21.00,,133.00,,33.00,,333.00,
Qwen3-30B,1428.00,,39.98%,25.00%,0.708,6.99,12,333.00,,33.00,,333.00,,123.00,,67.00,,67.00,,48.00,,24.00,,0.00,,0.00,,67.00,,333.00,
seed-oss_2048,1423.00,,36.53%,33.33%,0.078,19.36,12,333.00,,333.00,,0.00,,0.00,,0.00,,333.00,,0.00,,24.00,,0.00,,0.00,,67.00,,333.00,
deepseek-chat,1223.00,,36.63%,25.00%,0.876,23.34,12,333.00,,333.00,,0.00,,35.00,,50.00,,67.00,,48.00,,24.00,,0.00,,0.00,,0.00,,333.00,
DeepSeek-R1-Distill-Qwen-32B,1222.00,,34.89%,25.00%,0.812,4.13,12,333.00,,333.00,,83.00,,35.00,,50.00,,22.00,,0.00,,0.00,,0.00,,0.00,,33.00,,333.00,
gpt-oss-20b-low,1203.00,,34.10%,25.00%,0.275,29.82,12,333.00,,333.00,,0.00,,35.00,,0.00,,67.00,,0.00,,48.00,,21.00,,0.00,,33.00,,333.00,
seed-oss_1024,1123.00,,28.96%,25.00%,0.260,17.70,12,333.00,,333.00,,0.00,,0.00,,0.00,,333.00,,0.00,,24.00,,0.00,,0.00,,33.00,,67.00,
QwQ-32B,1099.00,,29.32%,25.00%,0.392,4.07,12,333.00,,333.00,,0.00,,0.00,,0.00,,22.00,,0.00,,24.00,,21.00,,0.00,,33.00,,333.00,
seed-oss_512,857.00,,21.15%,16.67%,0.442,3.65,12,333.00,,67.00,,0.00,,0.00,,0.00,,333.00,,0.00,,24.00,,0.00,,0.00,,0.00,,100.00,
DeepSeek-R1-Distill-Llama-70B,851.00,,24.75%,16.67%,0.561,4.05,12,333.00,,33.00,,0.00,,35.00,,50.00,,22.00,,0.00,,24.00,,21.00,,0.00,,0.00,,333.00,
DeepSeek-R1-Distill-Qwen-14B,806.00,,23.75%,16.67%,0.753,8.60,12,333.00,,0.00,,83.00,,35.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,
Qwen3-4B,780.00,,22.28%,16.67%,0.928,4.37,12,0.00,,333.00,,0.00,,35.00,,0.00,,22.00,,0.00,,24.00,,0.00,,0.00,,33.00,,333.00,
Llama-3.3-70B-Instruct,390.00,,15.36%,0.00%,1.481,17.87,12,133.00,,167.00,,0.00,,35.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,
Qwen2.5-Coder-32B-Instruct,364.00,,14.43%,0.00%,1.565,17.85,12,0.00,,167.00,,83.00,,35.00,,33.00,,22.00,,0.00,,24.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,296.00,,10.48%,0.00%,0.607,28.08,12,0.00,,167.00,,0.00,,35.00,,0.00,,22.00,,48.00,,24.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,296.00,,10.68%,0.00%,0.637,2.03,12,0.00,,167.00,,83.00,,0.00,,0.00,,22.00,,0.00,,24.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,296.00,,10.84%,0.00%,0.808,5.15,12,0.00,,167.00,,0.00,,35.00,,0.00,,22.00,,48.00,,24.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,189.00,,8.15%,0.00%,0.556,6.44,12,0.00,,167.00,,0.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,189.00,,7.89%,0.00%,0.934,47.87,12,22.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,188.00,,6.29%,0.00%,0.423,1.82,12,0.00,,133.00,,0.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,
Qwen2.5-72B,118.00,,4.28%,0.00%,0.458,47.80,12,0.00,,0.00,,83.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,68.00,,2.41%,0.00%,0.273,1.41,12,0.00,,33.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,68.00,,3.66%,0.00%,0.841,65.28,12,0.00,,33.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,57.00,,2.85%,0.00%,0.395,3.57,12,0.00,,0.00,,0.00,,35.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,55.00,,1.16%,0.00%,0.230,0.56,12,0.00,,33.00,,0.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,33.00,,1.40%,0.00%,0.097,1.81,12,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,33.00,,2.94%,0.00%,0.445,2.22,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,2,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.52%,0.00%,0.009,0.15,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
