problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.240,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.400,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.460,85.0859375,,7,11,17,29,26,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,3.970,265.49609375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.060,1.90625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,3.8984375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,22.50%,12.90%,0.140,18.01953125,,0,27,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,3.48046875,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,RUNTIME_ERROR,29,41.43%,44.90%,0.100,1.55859375,,6,0,23,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,47,52.22%,74.42%,0.100,4.390625,,25,13,9,0,0,0
blistavost,TIME_LIMIT_EXCEEDED,75,62.50%,67.21%,4.840,3.8671875,,0,0,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.080,1.81640625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,11.09375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.180,10.58203125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,4.92%,0.430,1.55859375,,0,0,0,0,0,0
zbunjenost,TIME_LIMIT_EXCEEDED,13,10.83%,37.10%,6.010,531.8671875,,13,0,0,0,0,0
TOTAL,,984,,55.61%,,,44.00%,,,,,,
