Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Alien_Homophones,Alien_Homophones_rel,Classic_Tree_Problem,Classic_Tree_Problem_rel,Colorful_Diameter,Colorful_Diameter_rel,Distinctive_Features,Distinctive_Features_rel,Egors_Gaming_Addiction,Egors_Gaming_Addiction_rel,Repainting_the_Table,Repainting_the_Table_rel,Road_Lighting,Road_Lighting_rel,Stone_Enthusiast,Stone_Enthusiast_rel,Ultrafast_train,Ultrafast_train_rel
gpt-5,662.00,73.56%,76.76%,66.67%,1.213,32.91,9,62.00,62.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
seed-oss_16384,658.00,,78.17%,66.67%,1.302,62.80,9,100.00,,0.00,,48.00,,100.00,,100.00,,100.00,,10.00,,100.00,,100.00,
gpt-oss-120b-high,580.00,64.44%,69.21%,55.56%,1.203,81.18,9,100.00,100.00%,0.00,0.00%,70.00,70.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,10.00,10.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-medium,557.00,61.89%,67.74%,55.56%,0.616,32.87,9,100.00,100.00%,0.00,0.00%,33.00,33.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-pro,557.00,61.89%,68.26%,55.56%,1.003,74.27,9,100.00,100.00%,0.00,0.00%,43.00,43.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,14.00,14.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp1,551.00,61.22%,64.51%,55.56%,0.459,48.26,9,100.00,100.00%,0.00,0.00%,51.00,51.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp2,533.00,59.22%,65.29%,55.56%,0.519,19.55,9,100.00,100.00%,0.00,0.00%,19.00,19.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,14.00,14.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-high,521.00,57.89%,66.10%,55.56%,0.872,35.78,9,8.00,8.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,13.00,13.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp3,519.00,57.67%,61.51%,55.56%,0.294,46.55,9,100.00,100.00%,0.00,0.00%,19.00,19.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,497.00,55.22%,65.01%,44.44%,1.402,49.97,9,100.00,100.00%,0.00,0.00%,48.00,48.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%,13.00,13.00%,100.00,100.00%,100.00,100.00%
