problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,ACCEPTED,100,100.00%,0.780,28.46875,,5,19,19,19,19,19,0,0,0,0
game,RUNTIME_ERROR,0,10.81%,0.120,11.0234375,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,38,39.26%,0.370,36.5859375,,6,19,13,0,0,0,0,0,0,0
ones,WRONG_ANSWER,53,0.00%,0.150,1.94921875,,5.532019999999999,5.63774,5.70353,5.71772,5.6574800000000005,5.397499999999999,5.24783,5.064579999999999,4.74295,4.4296999999999995
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.200,72.453125,,10,10,0,0,0,0,0,0,0,0
aquarelle,ACCEPTED,100,100.00%,0.170,36.03125,,0,11,18,24,36,11,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.110,14.87109375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.090,4.90625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.020,1.9375,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.030,12.37890625,,0,0,0,0,0,0,0,0,0,0
TOTAL,,551,46.85%,,,36.36%,,,,,,,,,,
