competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-120b-medium,40647,52.31%,0.43,41.81,37.09%
APIO-2023,gpt-oss-120b-medium,15,12.53%,0.28,17.36,0.00%
APIO-2024,gpt-oss-120b-medium,105,39.29%,0.10,9.27,33.33%
BOI-2023,gpt-oss-120b-medium,128,52.26%,0.71,13.05,16.67%
BOI-2024,gpt-oss-120b-medium,356,65.67%,0.15,28.81,50.00%
BOI-2025,gpt-oss-120b-medium,72,22.19%,0.65,15.61,0.00%
CCO-2023,gpt-oss-120b-medium,183,69.58%,0.15,21.34,62.50%
CCO-2024,gpt-oss-120b-medium,160,59.80%,0.21,89.48,56.25%
CEOI-2023,gpt-oss-120b-medium,40,12.50%,0.51,37.90,0.00%
CEOI-2024,gpt-oss-120b-medium,155,51.18%,0.31,51.88,16.67%
COCI-2023,gpt-oss-120b-medium,1720,77.59%,0.15,12.58,76.00%
COCI-2024,gpt-oss-120b-medium,1561,74.54%,0.32,20.35,68.00%
COCI-2025,gpt-oss-120b-medium,1410,73.52%,0.38,18.96,64.00%
EGOI-2023,gpt-oss-120b-medium,200,25.71%,0.03,4.83,25.00%
EGOI-2024,gpt-oss-120b-medium,348,53.10%,0.04,6.43,37.50%
EJOI-2023,gpt-oss-120b-medium,220,41.59%,0.39,35.50,33.33%
EJOI-2024,gpt-oss-120b-medium,372,65.15%,0.35,46.01,50.00%
IATI-2024,gpt-oss-120b-medium,376,36.16%,0.22,27.15,18.18%
IOI-2023,gpt-oss-120b-medium,32,14.59%,0.37,9.47,0.00%
IOI-2024,gpt-oss-120b-medium,119,41.63%,0.88,417.32,0.00%
JOI-2023,gpt-oss-120b-medium,515,39.29%,0.44,16.38,25.00%
JOI-2024,gpt-oss-120b-medium,506,34.26%,0.23,19.36,20.00%
JOI-2025,gpt-oss-120b-medium,249,64.06%,0.84,28.02,40.00%
NOINordic-2023,gpt-oss-120b-medium,271,95.62%,1.67,61.12,66.67%
NOINordic-2024,gpt-oss-120b-medium,104,45.58%,0.07,4.13,33.33%
NOINordic-2025,gpt-oss-120b-medium,200,75.34%,0.87,43.80,66.67%
OOI-2023,gpt-oss-120b-medium,949,64.48%,0.71,100.06,41.18%
OOI-2024,gpt-oss-120b-medium,1132,74.65%,0.67,26.91,58.82%
RMI-2023,gpt-oss-120b-medium,240,52.39%,0.27,49.02,33.33%
RMI-2024,gpt-oss-120b-medium,148,37.45%,0.47,20.85,16.67%
USACO-2023,gpt-oss-120b-medium,11644,74.37%,0.45,26.65,66.67%
USACO-2024,gpt-oss-120b-medium,9407,60.94%,0.50,36.21,50.00%
USACO-2025,gpt-oss-120b-medium,7710,66.96%,0.28,22.13,61.11%
