Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,7krokods,7krokods_rel,bojanje,bojanje_rel,mreza,mreza_rel,vrsta,vrsta_rel,zrinka,zrinka_rel
gpt-oss-20b-high,450.00,100.00%,100.00%,100.00%,0.178,13.31,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gemini-2.5-pro,450.00,100.00%,100.00%,100.00%,0.210,96.03,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gemini-2.5-flash,450.00,100.00%,100.00%,100.00%,0.272,62.12,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-o3-mini-high,450.00,100.00%,100.00%,100.00%,0.278,25.48,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
grok-4-fast-reasoning,450.00,100.00%,100.00%,100.00%,0.386,52.16,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-20b-medium,415.00,90.00%,88.00%,80.00%,0.224,13.31,5,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,35.00,50.00%
gpt-oss-120b_sp1,400.00,100.00%,100.00%,100.00%,0.217,11.09,4,N/A,N/A,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b-high,400.00,80.00%,80.00%,80.00%,0.144,12.65,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b_sp4,400.00,80.00%,80.00%,80.00%,0.186,12.74,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-5,400.00,80.00%,80.00%,80.00%,0.190,8.38,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b-medium,400.00,80.00%,80.00%,80.00%,0.202,7.87,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
seed-oss_-1,400.00,80.00%,80.00%,80.00%,0.236,15.43,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b_sp3,400.00,80.00%,80.00%,80.00%,0.264,8.71,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b_sp2,400.00,80.00%,80.00%,80.00%,0.264,26.69,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b-low,400.00,80.00%,80.00%,80.00%,0.314,9.41,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
claude-sonnet-4.5,326.00,73.82%,77.44%,60.00%,1.246,10.36,5,50.00,100.00%,110.00,100.00%,21.00,19.09%,110.00,100.00%,35.00,50.00%
gpt-4.1,276.00,53.82%,57.44%,40.00%,1.242,5.99,5,0.00,0.00%,110.00,100.00%,21.00,19.09%,110.00,100.00%,35.00,50.00%
seed-oss_8192,270.00,,52.78%,40.00%,1.254,41.17,5,0.00,,30.00,,60.00,,110.00,,70.00,
gpt-oss-20b-low,260.00,65.45%,68.00%,60.00%,0.070,20.42,5,50.00,100.00%,30.00,27.27%,0.00,0.00%,110.00,100.00%,70.00,100.00%
deepseek-reasoner,255.00,50.00%,48.00%,40.00%,0.062,2.13,5,0.00,0.00%,110.00,100.00%,0.00,0.00%,110.00,100.00%,35.00,50.00%
Qwen3-30B,255.00,,48.00%,40.00%,0.076,1.80,5,0.00,,110.00,,0.00,,110.00,,35.00,
OpenCodeReasoning-Nemotron-32B-IOI,220.00,47.27%,49.33%,40.00%,0.114,39.51,5,0.00,0.00%,40.00,36.36%,0.00,0.00%,110.00,100.00%,70.00,100.00%
deepseek-chat,211.00,42.00%,45.44%,20.00%,1.456,31.17,5,0.00,0.00%,110.00,100.00%,21.00,19.09%,45.00,40.91%,35.00,50.00%
Qwen3-32B,196.00,,48.11%,20.00%,1.146,7.15,5,0.00,,30.00,,21.00,,110.00,,35.00,
seed-oss_4096,180.00,,40.00%,40.00%,0.048,2.12,5,0.00,,0.00,,0.00,,110.00,,70.00,
Qwen3-8B,175.00,35.45%,38.67%,20.00%,0.104,5.77,5,0.00,0.00%,30.00,27.27%,0.00,0.00%,110.00,100.00%,35.00,50.00%
QwQ-32B,156.00,,33.33%,0.00%,0.236,2.13,5,0.00,,40.00,,0.00,,81.00,,35.00,
Qwen3-14B,145.00,30.00%,33.33%,20.00%,0.050,1.80,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,35.00,50.00%
seed-oss_1024,110.00,,21.33%,20.00%,0.034,2.70,5,0.00,,0.00,,0.00,,110.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,109.00,,25.60%,0.00%,0.234,0.93,5,0.00,,0.00,,0.00,,74.00,,35.00,
Qwen2.5-Coder-32B-Instruct,95.00,,18.67%,0.00%,0.224,23.97,5,0.00,,30.00,,0.00,,45.00,,20.00,
Qwen3-4B,80.00,18.18%,17.33%,0.00%,0.080,1.05,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,45.00,40.91%,35.00,50.00%
DeepSeek-R1-Distill-Llama-70B,80.00,18.18%,21.33%,0.00%,0.088,0.95,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,45.00,40.91%,35.00,50.00%
Qwen2.5-72B,69.00,,18.33%,0.00%,0.305,5.32,4,N/A,,30.00,,0.00,,19.00,,20.00,
Qwen2.5-Coder-14B-Instruct,65.00,13.90%,13.33%,0.00%,0.262,25.64,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,45.00,40.91%,20.00,28.57%
Qwen3-30B-Non-Thinking,46.00,10.44%,8.00%,0.00%,0.028,0.88,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,26.00,23.64%,20.00,28.57%
DeepSeek-R1-Distill-Qwen-14B,45.00,,8.00%,0.00%,0.076,0.95,5,0.00,,0.00,,0.00,,45.00,,0.00,
Qwen3-8B-Non-Thinking,39.00,9.17%,8.00%,0.00%,0.252,0.41,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,20.00,28.57%
Qwen3-32B-Non-Thinking,39.00,9.17%,8.00%,0.00%,0.252,0.67,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,20.00,28.57%
Mistral-Large-Instruct-2411,39.00,9.17%,9.33%,0.00%,0.254,0.37,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,20.00,28.57%
Qwen2.5-Coder-7B-Instruct,39.00,9.17%,8.00%,0.00%,0.254,84.67,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,20.00,28.57%
Codestral-22B-v0.1,39.00,9.17%,9.33%,0.00%,0.258,0.72,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,20.00,28.57%
Llama-3.3-70B-Instruct,39.00,,12.00%,0.00%,0.454,88.64,5,0.00,,0.00,,0.00,,19.00,,20.00,
Mistral-Small-3.1-24B-2503,34.00,7.74%,9.33%,0.00%,0.264,86.11,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,15.00,21.43%
Qwen3-14B-Non-Thinking,20.00,7.14%,6.67%,0.00%,0.025,0.00,4,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,20.00,28.57%
Llama-4-Scout,19.00,3.45%,4.00%,0.00%,0.250,0.57,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,19.00,3.45%,4.00%,0.00%,0.252,86.78,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,17.27%,0.00,0.00%
Qwen3-4B-Non-Thinking,15.00,4.29%,4.00%,0.00%,0.008,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,15.00,21.43%
OlympicCoder-7B,15.00,4.29%,8.00%,0.00%,0.020,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,15.00,21.43%
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2,0.00,0.00%,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
