problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
milano,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.090,14.18359375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.060,1.8125,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
putovanje,RUNTIME_ERROR,0,0.00%,4.32%,1.480,5.125,,0,0,0,0,0
roboti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
pahuljice,RUNTIME_ERROR,0,0.00%,3.70%,0.050,0,,0,0,0,0,0
pingvin,RUNTIME_ERROR,16,22.86%,25.00%,0.080,6.19140625,,0,16,0,0,0
dizalo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,0.00%,1.35%,0.080,70.39453125,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,0,0.00%,5.00%,2.410,2.1015625,,0,0,0,0,0
sudoku,RUNTIME_ERROR,0,0.00%,45.71%,0.000,0,,0,0,0,0,0
labirint,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,26.36%,83.33%,4.830,67.04296875,,12,17,0,0,0
kocke,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,95,,10.76%,,,4.00%,,,,,
