problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,TIME_LIMIT_EXCEEDED,17,24.29%,21.88%,1.210,6.97265625,,0,17,0,0,0
milano,ACCEPTED,110,100.00%,100.00%,0.140,5.3984375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.170,60.01171875,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.060,1.8125,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
rolete,RUNTIME_ERROR,0,0.00%,2.04%,1.250,3.015625,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,RUNTIME_ERROR,0,0.00%,4.55%,0.000,0,,0,0,0,0,0
knjige,RUNTIME_ERROR,0,0.00%,0.00%,0.060,2.01171875,,0,0,0,0,0
lepeze,RUNTIME_ERROR,0,0.00%,1.92%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,68.35%,2.410,5.26171875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,9.09%,9.09%,2.410,0.00390625,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.080,6.44921875,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kuglice,TIME_LIMIT_EXCEEDED,10,9.09%,25.68%,0.620,215.01953125,,0,10,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,9.09%,42.50%,2.410,2.07421875,,10,0,0,0,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.060,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.290,3.171875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.100,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.050,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.610,7.97265625,,13,17,0,0,0
TOTAL,,652,,37.87%,,,28.00%,,,,,
