Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,7krokods,7krokods_rel,bojanje,bojanje_rel,mreza,mreza_rel,vrsta,vrsta_rel,zrinka,zrinka_rel
gpt-oss-20b-high,450.00,,100.00%,100.00%,0.154,13.31,5,50.00,,110.00,,110.00,,110.00,,70.00,
gemini-2.5-pro,450.00,,100.00%,100.00%,0.210,96.03,5,50.00,,110.00,,110.00,,110.00,,70.00,
gemini-2.5-flash,450.00,,100.00%,100.00%,0.272,62.12,5,50.00,,110.00,,110.00,,110.00,,70.00,
gpt-o3-mini-high,450.00,,100.00%,100.00%,0.294,27.46,5,50.00,,110.00,,110.00,,110.00,,70.00,
gpt-oss-20b-medium,415.00,,88.00%,80.00%,0.200,13.15,5,50.00,,110.00,,110.00,,110.00,,35.00,
seed-oss_-1,400.00,,100.00%,100.00%,0.278,19.29,4,N/A,,110.00,,110.00,,110.00,,70.00,
gpt-oss-120b-high,400.00,,80.00%,80.00%,0.132,12.65,5,0.00,,110.00,,110.00,,110.00,,70.00,
gpt-5,400.00,,80.00%,80.00%,0.168,8.23,5,0.00,,110.00,,110.00,,110.00,,70.00,
gpt-oss-120b-medium,400.00,80.00%,80.00%,80.00%,0.196,11.16,5,0.00,0.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%,70.00,100.00%
gpt-oss-120b-low,400.00,,80.00%,80.00%,0.296,13.02,5,0.00,,110.00,,110.00,,110.00,,70.00,
gpt-4.1,276.00,,57.44%,40.00%,1.146,11.43,5,0.00,,110.00,,21.00,,110.00,,35.00,
seed-oss_8192,270.00,,52.78%,40.00%,1.254,41.17,5,0.00,,30.00,,60.00,,110.00,,70.00,
gpt-oss-20b-low,260.00,,68.00%,60.00%,0.056,20.94,5,50.00,,30.00,,0.00,,110.00,,70.00,
deepseek-reasoner,255.00,,48.00%,40.00%,0.056,2.13,5,0.00,,110.00,,0.00,,110.00,,35.00,
Qwen3-30B,255.00,,48.00%,40.00%,0.076,1.80,5,0.00,,110.00,,0.00,,110.00,,35.00,
deepseek-chat,211.00,,45.44%,20.00%,1.332,29.87,5,0.00,,110.00,,21.00,,45.00,,35.00,
Qwen3-32B,196.00,,48.11%,20.00%,1.146,7.15,5,0.00,,30.00,,21.00,,110.00,,35.00,
seed-oss_4096,180.00,,40.00%,40.00%,0.048,2.12,5,0.00,,0.00,,0.00,,110.00,,70.00,
Qwen3-8B,175.00,,38.67%,20.00%,0.088,6.13,5,0.00,,30.00,,0.00,,110.00,,35.00,
QwQ-32B,156.00,,33.33%,0.00%,0.236,2.13,5,0.00,,40.00,,0.00,,81.00,,35.00,
Qwen3-14B,145.00,,33.33%,20.00%,0.034,1.80,5,0.00,,0.00,,0.00,,110.00,,35.00,
seed-oss_1024,110.00,,21.33%,20.00%,0.034,2.70,5,0.00,,0.00,,0.00,,110.00,,0.00,
