problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.110,4.390625,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.150,5.1640625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.190,63.30078125,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.020,8.01171875,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.070,2.234375,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.000,0,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.230,2.84375,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.120,3.87890625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,ACCEPTED,110,100.00%,2.060,5.18359375,,10,20,35,45,0
roboti,RUNTIME_ERROR,10,15.91%,1.690,21.0,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.090,9.171875,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.080,35.7890625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.310,19.515625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.140,2.7578125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.110,114.4765625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.060,0.00390625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.330,8.0078125,,13,17,0,0,0
TOTAL,,1256,64.56%,,,60.00%,,,,,
