problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.090,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.060,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.140,38.6796875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,0.900,123.33984375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.030,2.4921875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.040,1.8125,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.070,3.6171875,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.050,3.10546875,,7,27,36,0,0
lepeze,RUNTIME_ERROR,16,21.15%,0.210,46.66796875,,0,16,0,0,0
putovanje,ACCEPTED,110,100.00%,1.850,5.5859375,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,23,52.27%,2.210,18.234375,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.040,2.83984375,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.090,6.96875,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.050,35.84765625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.140,8.23828125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.030,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.140,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.340,8.14453125,,13,17,0,0,0
TOTAL,,1395,70.67%,,,64.00%,,,,,
