problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,MEMORY_LIMIT_EXCEEDED,0,0.00%,5.61%,0.360,257.55859375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.110,4.62109375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.370,9.03515625,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,14.29%,1.190,87.21484375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,0,0.00%,0.00%,0.120,5.9375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,34,34.00%,37.10%,0.130,7.74609375,,0.0,23.0,0,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.91796875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,29,29.00%,72.16%,8.430,23.94921875,,0.0,10.0,0,0,0,0,0,8.0,11.0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,24.00%,63.16%,2.410,17.69921875,,0.0,14.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,53.94%,3.610,45.38671875,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,38.00%,89.37%,2.440,58.64453125,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.320,21.9609375,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,15.00%,60.19%,2.410,224.63671875,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,TIME_LIMIT_EXCEEDED,17,17.00%,59.69%,1.210,127.6171875,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,491,,45.21%,,,17.65%,,,,,,,,,,,,,,,
