problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,38.71%,1.140,96.94921875,,5,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,3,20.59%,0.040,0.00390625,,3,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,1.56%,1.670,257.4609375,,0,0,0,0,0,0,0,0
d1p1,MEMORY_LIMIT_EXCEEDED,0,8.57%,0.540,1104.99609375,,0,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.95%,0.110,20.37890625,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.170,5.16796875,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,28.57%,0.040,1.70703125,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,7.03%,2.210,25.75,,0,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,1.110,3.16796875,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,6,72.22%,0.000,0,,2,2,2,0,0,0,0,0
TOTAL,,72,36.75%,,,18.75%,,,,,,,,
