solution,status,score,%test passed,time,memory,subtask_0
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-8B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
