solution,status,score,%test passed,time,memory,subtask_0
j2_Qwen3-14B_0.cpp,ACCEPTED,15,100.00%,0.050,0.00390625,15
j2_Qwen3-14B_0.cpp,ACCEPTED,15,100.00%,0.050,0.00390625,15
j2_Qwen3-14B_1.cpp,ACCEPTED,15,100.00%,0.050,0.00390625,15
j2_Qwen3-14B_1.cpp,ACCEPTED,15,100.00%,0.050,0.00390625,15
j2_Qwen3-14B_2.cpp,ACCEPTED,15,100.00%,0.060,1.71484375,15
j2_Qwen3-14B_3.cpp,ACCEPTED,15,100.00%,0.060,0.00390625,15
j2_Qwen3-14B_4.cpp,ACCEPTED,15,100.00%,0.050,1.71484375,15
j2_Qwen3-14B_5.cpp,ACCEPTED,15,100.00%,0.050,1.71484375,15
j2_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,0.060,0.00390625,15
j2_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,0.060,0.00390625,15
j2_Qwen3-14B_7.cpp,ACCEPTED,15,100.00%,0.060,1.65625,15
j2_Qwen3-14B_7.cpp,ACCEPTED,15,100.00%,0.060,1.65625,15
j2_Qwen3-14B_7.cpp,ACCEPTED,15,100.00%,0.060,1.65625,15
