solution,status,score,relative_score,%test passed,time,memory,subtask_0
j2_gpt-oss-120b_0.cpp,ACCEPTED,15,100.00%,100.00%,0.050,0,15
j2_gpt-oss-120b_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_2.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j2_gpt-oss-120b_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j2_gpt-oss-120b_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
