problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
s1j4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,2.38%,0.100,4.96875,,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p2,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0
j3,RUNTIME_ERROR,12,80.00%,62.50%,0.040,0,,6,6,0,0
s1j4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
j5,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
TOTAL,,42,,16.56%,,,12.50%,,,,
