competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,3036,2566,7152,1083,5822,12241,1277,3451
APIO-2023,0,0,8,0,8,8,0,0
APIO-2024,0,0,7,1,6,5,0,5
BOI-2023,0,0,1,0,8,34,0,5
BOI-2024,0,0,15,0,5,23,0,5
BOI-2025,0,0,8,0,2,25,6,7
CCO-2023,20,0,27,3,11,59,2,6
CCO-2024,39,0,12,5,16,43,1,12
CEOI-2023,0,0,2,0,17,26,1,2
CEOI-2024,0,0,7,0,14,23,1,3
COCI-2023,35,0,17,1,38,81,6,22
COCI-2024,47,3,39,5,41,50,0,15
COCI-2025,41,0,26,8,27,72,12,14
EGOI-2023,2,0,4,3,5,33,11,6
EGOI-2024,0,0,2,2,10,42,4,4
EJOI-2023,0,0,19,1,14,11,1,2
EJOI-2024,4,0,8,1,18,11,0,6
IATI-2024,5,4,11,3,9,37,14,5
IOI-2023,0,0,3,0,15,29,0,1
IOI-2024,0,0,6,6,13,19,0,4
JOI-2023,9,0,25,1,31,70,2,22
JOI-2024,1,0,15,1,34,88,0,21
JOI-2025,8,0,9,0,3,16,0,0
NOINordic-2023,1,0,5,6,0,11,0,1
NOINordic-2024,0,0,3,0,0,15,0,6
NOINordic-2025,0,0,11,0,4,6,0,3
OOI-2023,10,0,27,7,3,56,21,12
OOI-2024,16,0,42,1,0,46,23,8
RMI-2023,0,0,7,2,7,18,0,14
RMI-2024,0,0,9,2,10,22,2,3
USACO-2023,49,83,101,19,43,49,0,40
USACO-2024,32,95,107,14,44,60,0,32
USACO-2025,22,78,83,10,25,36,0,34
