competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-8B,19218,29.93%,0.70,62.11,12.80%
APIO-2023,Qwen3-8B,31,22.70%,0.66,8.90,0.00%
APIO-2024,Qwen3-8B,19,10.12%,0.44,405.29,0.00%
BOI-2023,Qwen3-8B,9,27.01%,1.00,0.52,0.00%
BOI-2024,Qwen3-8B,21,21.00%,0.21,2.07,0.00%
BOI-2025,Qwen3-8B,0,6.30%,0.66,28.30,0.00%
CCO-2023,Qwen3-8B,123,50.82%,0.16,12.25,31.25%
CCO-2024,Qwen3-8B,130,50.35%,0.10,8.68,50.00%
CEOI-2023,Qwen3-8B,0,1.53%,0.03,1.12,0.00%
CEOI-2024,Qwen3-8B,22,36.29%,1.84,74.70,0.00%
COCI-2023,Qwen3-8B,873,46.54%,0.42,25.27,36.00%
COCI-2024,Qwen3-8B,1042,54.68%,0.41,18.41,48.00%
COCI-2025,Qwen3-8B,744,41.85%,0.56,42.55,32.00%
EGOI-2023,Qwen3-8B,100,15.79%,0.18,127.84,12.50%
EGOI-2024,Qwen3-8B,32,23.46%,0.32,76.77,0.00%
EJOI-2023,Qwen3-8B,59,14.03%,0.81,39.11,0.00%
EJOI-2024,Qwen3-8B,111,27.83%,1.18,22.25,16.67%
IATI-2024,Qwen3-8B,221,28.66%,0.19,60.15,9.09%
IOI-2023,Qwen3-8B,13,7.28%,0.33,8.69,0.00%
IOI-2024,Qwen3-8B,92,28.70%,0.77,820.37,0.00%
JOI-2023,Qwen3-8B,325,32.91%,0.85,3.60,10.00%
JOI-2024,Qwen3-8B,139,18.63%,0.21,12.15,5.00%
JOI-2025,Qwen3-8B,110,28.91%,1.03,23.12,20.00%
NOINordic-2023,Qwen3-8B,179,71.48%,0.45,8.86,33.33%
NOINordic-2024,Qwen3-8B,23,27.34%,0.43,4.39,0.00%
NOINordic-2025,Qwen3-8B,67,20.54%,3.72,7.58,0.00%
OOI-2023,Qwen3-8B,535,41.70%,0.23,5.92,17.65%
OOI-2024,Qwen3-8B,739,60.48%,1.75,18.39,29.41%
RMI-2023,Qwen3-8B,4,11.33%,0.67,4.10,0.00%
RMI-2024,Qwen3-8B,100,26.22%,0.32,60.94,0.00%
USACO-2023,Qwen3-8B,5547,39.87%,1.16,30.43,23.40%
USACO-2024,Qwen3-8B,5027,35.32%,0.60,8.12,18.75%
USACO-2025,Qwen3-8B,2781,28.16%,0.67,16.84,16.67%
