Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,2466.00,72.53%,81.31%,58.82%,0.946,51.17,34
gpt-oss-120b-high,2464.00,72.47%,78.90%,61.76%,0.756,64.96,34
grok-4-fast-reasoning,1990.00,64.19%,74.21%,41.94%,1.169,73.21,31
gpt-oss-120b-medium,1981.00,58.26%,66.62%,47.06%,0.724,60.64,34
gpt-oss-120b_sp2,1969.00,57.91%,63.59%,50.00%,0.310,58.28,34
gpt-oss-120b_sp1,1964.00,57.76%,63.49%,47.06%,0.681,44.05,34
gemini-2.5-pro,1939.00,57.03%,69.62%,35.29%,1.277,96.70,34
gpt-oss-120b_sp3,1877.00,55.21%,61.70%,44.12%,0.487,62.01,34
gpt-o3-mini-high,1872.00,55.06%,65.00%,47.06%,0.983,49.48,34
seed-oss_16384,1860.00,,63.09%,41.18%,0.655,70.84,34
gpt-oss-20b-high,1853.00,63.90%,69.00%,55.17%,0.544,41.04,29
gpt-oss-20b-medium,1835.00,53.97%,58.35%,47.06%,0.478,33.07,34
gpt-oss-120b_sp4,1729.00,50.85%,59.24%,38.24%,0.702,62.73,34
seed-oss_-1,1693.00,49.79%,59.19%,35.29%,0.962,86.47,34
gemini-2.5-flash,1633.00,48.03%,61.87%,29.41%,1.477,93.68,34
gpt-oss-120b-low,1606.00,47.24%,55.06%,38.24%,0.629,41.47,34
Qwen3-32B,1488.00,,54.62%,20.59%,0.803,62.74,34
Qwen3-14B,1390.00,,52.69%,26.47%,0.878,26.33,34
deepseek-reasoner,1387.00,40.79%,51.80%,23.53%,0.574,22.51,34
Qwen3-30B,1309.00,,52.07%,23.53%,1.024,10.98,34
gpt-oss-20b-low,1307.00,38.44%,46.30%,29.41%,0.380,29.15,34
seed-oss_8192,1304.00,,47.96%,20.59%,0.859,70.19,34
claude-sonnet-4.5,1237.00,38.66%,61.48%,15.62%,2.154,103.55,32
Qwen3-8B,1202.00,35.35%,48.53%,23.53%,0.985,9.80,34
OpenCodeReasoning-Nemotron-32B-IOI,1186.00,34.88%,44.34%,23.53%,0.543,40.86,34
DeepSeek-R1-Distill-Llama-70B,1054.00,31.00%,45.36%,17.65%,1.000,24.28,34
gpt-4.1,967.00,28.44%,40.13%,11.76%,0.968,61.21,34
Qwen3-4B,961.00,28.26%,41.46%,17.65%,0.945,6.59,34
deepseek-chat,934.00,27.47%,41.64%,11.76%,0.917,47.86,34
seed-oss_4096,876.00,,34.16%,15.15%,0.654,17.17,33
OlympicCoder-7B,839.00,24.68%,34.60%,14.71%,0.390,38.72,34
Qwen2.5-Coder-14B-Instruct,827.00,24.32%,33.31%,14.71%,0.880,21.93,34
Llama-3.3-70B-Instruct,796.00,,34.97%,14.71%,1.116,10.48,34
Qwen3-32B-Non-Thinking,700.00,20.59%,29.49%,11.76%,0.712,15.86,34
Mistral-Small-3.1-24B-2503,652.00,19.18%,26.79%,8.82%,0.651,23.49,34
Codestral-22B-v0.1,607.00,17.85%,21.76%,11.76%,0.580,2.36,34
Qwen2.5-72B,607.00,,25.55%,5.88%,0.615,26.52,34
Mistral-Large-Instruct-2411,596.00,17.53%,27.19%,8.82%,0.957,8.33,34
seed-oss_1024,589.00,,22.59%,11.76%,0.410,12.16,34
Qwen3-30B-Non-Thinking,580.00,17.06%,24.01%,8.82%,0.714,19.46,34
seed-oss_0,556.00,,23.53%,8.82%,0.414,21.97,34
Qwen3-14B-Non-Thinking,533.00,15.68%,23.79%,11.76%,0.886,15.26,34
Llama-4-Scout,501.00,14.74%,19.67%,8.82%,0.398,17.53,34
seed-oss_2048,496.00,,23.75%,5.88%,0.303,22.98,34
Qwen3-8B-Non-Thinking,438.00,12.88%,18.41%,5.88%,0.443,24.94,34
Qwen3-4B-Non-Thinking,415.00,12.21%,19.57%,5.88%,0.979,4.86,34
DeepSeek-Coder-V2-Lite-Instruct,405.00,11.91%,18.72%,2.94%,0.930,8.89,34
Llama-3.1-8B-Instruct,393.00,11.56%,13.94%,2.94%,0.132,22.24,34
Qwen2.5-Coder-7B-Instruct,299.00,8.79%,12.61%,5.88%,0.126,9.54,34
seed-oss_512,274.00,,15.10%,2.94%,0.341,9.12,34
DeepSeek-R1-Distill-Qwen-14B,136.00,68.00%,77.80%,50.00%,1.205,1.78,2
DeepSeek-R1-Distill-Qwen-32B,136.00,68.00%,77.80%,50.00%,1.260,1.55,2
QwQ-32B,133.00,66.50%,89.67%,0.00%,0.285,3.91,2
DeepSeek-R1-Distill-Llama-8B,130.00,3.82%,4.44%,2.94%,0.074,0.08,34
Qwen2.5-Coder-32B-Instruct,98.00,49.00%,55.95%,0.00%,0.200,306.77,2
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,4
