problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.300,5.28515625,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.050,2.84375,,5,5,2,3,0,0,0
s4,RUNTIME_ERROR,0,0.00%,0.090,15.4765625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,2.65%,0.040,0.00390625,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,23.21%,4.430,99.5234375,,5,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.730,55.1484375,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.190,33.5234375,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.050,0.00390625,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.120,8.51953125,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,2.30%,4.430,26.3125,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,2.33203125,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,6,41.94%,0.050,2.078125,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,101,44.67%,,,40.00%,,,,,,,
