problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,3.6171875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,3,0.00%,0.670,11.1484375,,0.00362,0.00681,0.015510000000000001,0.02866,0.05259,0.11599,0.20944000000000002,0.37631,0.81403,1.47723
travel,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,11.24%,0.030,0,,0,0,0,0,0,0,0,0,0,0
parentheses,RUNTIME_ERROR,0,3.10%,0.080,5.40234375,,0,0,0,0,0,0,0,0,0,0
tolls,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,3,1.97%,,,0.00%,,,,,,,,,,
