problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.010,0.00390625,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.010,0.00390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,21,17.50%,36.76%,2.420,56.72265625,,21,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.180,1.5546875,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.420,85.23828125,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.420,2.53515625,,20,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,12.50%,27.72%,4.210,115.765625,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.050,10.7890625,,15,30,25,0,0,0
cipele,ACCEPTED,120,100.00%,100.00%,2.020,157.89453125,,17,27,37,24,15,0
tura,TIME_LIMIT_EXCEEDED,0,0.00%,25.90%,0.610,5.265625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.080,1.81640625,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,52.22%,74.42%,2.410,4.390625,,25,13,9,0,0,0
blistavost,RUNTIME_ERROR,75,62.50%,52.46%,0.290,383.37109375,,20,0,55,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.120,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.290,29.97265625,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,14.75%,5.980,2.0234375,,0,0,0,0,0,0
zbunjenost,TIME_LIMIT_EXCEEDED,65,54.17%,64.52%,5.980,48.05078125,,13,18,34,0,0,0
TOTAL,,1143,,74.77%,,,59.09%,,,,,,
