problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,5.41%,0.170,21.91796875
2024-sp_Ski_2,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Spy_3,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Llama-4-Scout,RUNTIME_ERROR,3,3.00%,8.07%,0.170,4.38671875
2024-sp_Tricolor_Lights,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Llama-4-Scout,TIME_LIMIT_EXCEEDED,0,0.00%,38.46%,5.990,13.60546875
2024-sp_Card_Collection,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,6.06%,0.160,0
2024-sp_JOI_Tour,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Llama-4-Scout,TIME_LIMIT_EXCEEDED,0,0.00%,11.24%,2.400,13.41796875
2024-sp_Escape_Route_2,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,4.59%,0.220,5.94140625
2024-sp_Island_Hopping,Llama-4-Scout,RUNTIME_ERROR,2,2.00%,2.59%,0.290,1.55078125
2024-sp_Table_Tennis,Llama-4-Scout,TIME_LIMIT_EXCEEDED,0,0.00%,0.46%,1.220,2.33203125
