Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
gpt-o3-mini-high,11,99,25611.0,70,21,70.71,77.69,4,4,3,11,1
gemini-2.5-pro,11,99,24967.0,69,17,69.7,75.73,4,3,4,11,2
gemini-2.5-flash,11,99,22544.0,58,29,58.59,68.38,0,3,7,10,3
Qwen3-32B,11,99,17558.0,44,34,44.44,53.26,0,1,9,10,4
deepseek-reasoner,11,99,18537.0,47,29,47.47,56.23,0,1,7,8,5
Qwen3-14B,11,99,14101.0,30,37,30.3,42.77,0,1,7,8,6
Qwen3-30B,11,99,13556.0,29,39,29.29,41.12,0,2,4,6,7
QwQ-32B,11,99,14916.0,35,32,35.35,45.25,0,1,5,6,8
DeepSeek-R1-Distill-Qwen-32B,11,99,11510.0,23,38,23.23,34.91,0,0,6,6,9
Qwen3-8B,11,99,12002.0,24,39,24.24,36.41,0,1,4,5,10
gpt-4.1,11,99,11344.0,20,48,20.2,34.41,0,0,4,4,11
deepseek-chat,11,99,10863.0,21,39,21.21,32.95,0,1,2,3,12
Qwen3-4B,11,99,8843.0,18,32,18.18,26.82,0,0,3,3,13
DeepSeek-R1-Distill-Llama-70B,11,99,10062.0,21,32,21.21,30.52,0,1,1,2,14
Qwen3-30B-Non-Thinking,11,99,5931.0,8,36,8.08,17.99,0,0,1,1,15
DeepSeek-R1-Distill-Qwen-14B,11,99,6949.0,13,25,13.13,21.08,0,0,0,0,16
Qwen3-32B-Non-Thinking,11,99,5344.0,8,32,8.08,16.21,0,0,0,0,17
Qwen2.5-Coder-32B-Instruct,11,99,4516.0,4,36,4.04,13.7,0,0,0,0,18
Qwen3-14B-Non-Thinking,11,99,4170.0,4,36,4.04,12.65,0,0,0,0,19
Llama-3.3-70B-Instruct,11,99,4137.0,3,39,3.03,12.55,0,0,0,0,20
Mistral-Large-Instruct-2411,11,99,3669.0,3,32,3.03,11.13,0,0,0,0,21
Qwen3-8B-Non-Thinking,11,99,3487.0,3,27,3.03,10.58,0,0,0,0,22
Qwen2.5-Coder-14B-Instruct,11,99,3300.0,1,39,1.01,10.01,0,0,0,0,23
Qwen2.5-72B,11,99,3131.0,2,34,2.02,9.5,0,0,0,0,24
Qwen3-4B-Non-Thinking,11,99,2525.0,3,21,3.03,7.66,0,0,0,0,25
Qwen2.5-Coder-7B-Instruct,11,99,1849.0,1,25,1.01,5.61,0,0,0,0,26
Mistral-Small-3.1-24B-2503,11,99,1771.0,0,24,0.0,5.37,0,0,0,0,27
DeepSeek-Coder-V2-Lite-Instruct,11,99,1471.0,0,26,0.0,4.46,0,0,0,0,28
Codestral-22B-v0.1,11,99,1358.0,0,19,0.0,4.12,0,0,0,0,29
DeepSeek-R1-Distill-Llama-8B,11,99,921.0,1,5,1.01,2.79,0,0,0,0,30
Llama-3.1-8B-Instruct,11,99,499.0,0,12,0.0,1.51,0,0,0,0,31
DeepSeek-R1-Distill-Qwen-7B,6,54,18.0,0,0,0.0,0.1,0,0,0,0,32
