Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,3,18,692.0,692.0,38.446666666666665,60.12,22.223333333333333,0,1,0,1,55.049482681061626,1
gpt-o3-mini-high,3,18,506.0,506.0,28.11,41.71000000000001,16.666666666666664,0,1,0,1,44.44257010046484,2
gemini-2.5-flash,3,18,408.0,408.0,22.666666666666668,45.46,5.556666666666667,0,0,1,1,33.623856650172435,3
Qwen3-32B,3,18,248.0,248.0,13.780000000000001,35.47333333333333,5.556666666666667,0,0,1,1,23.85477582846004,4
deepseek-reasoner,3,18,273.0,273.0,15.166666666666666,38.233333333333334,5.556666666666667,0,0,0,0,24.26900584795322,5
Qwen3-30B,3,18,191.0,191.0,10.613333333333335,29.24333333333334,5.556666666666667,0,0,0,0,18.153021442495128,6
gpt-4.1,3,18,178.0,178.0,9.886666666666668,32.30666666666666,0.0,0,0,0,0,14.659244264507423,7
QwQ-32B,3,18,84.0,84.0,4.666666666666667,24.293333333333333,0.0,0,0,0,0,7.188109161793373,8
Qwen2.5-72B,3,18,52.0,52.0,2.8866666666666667,15.636666666666665,0.0,0,0,0,0,4.45906432748538,9
DeepSeek-R1-Distill-Llama-70B,3,18,51.0,51.0,2.8333333333333335,17.08,0.0,0,0,0,0,4.45906432748538,10
Qwen3-14B,3,18,46.0,46.0,2.5566666666666666,26.200000000000003,0.0,0,0,0,0,4.483430799220272,11
Qwen3-4B,3,18,42.0,42.0,2.3333333333333335,12.683333333333332,0.0,0,0,0,0,2.631578947368421,12
Mistral-Large-Instruct-2411,3,18,39.0,39.0,2.1666666666666665,14.903333333333332,0.0,0,0,0,0,3.0701754385964914,13
Qwen2.5-Coder-14B-Instruct,3,18,38.0,38.0,2.1100000000000003,10.209999999999999,0.0,0,0,0,0,3.0945419103313836,14
DeepSeek-R1-Distill-Qwen-32B,3,18,37.0,37.0,2.0533333333333332,11.559999999999999,0.0,0,0,0,0,3.5331384015594547,15
Qwen2.5-Coder-32B-Instruct,3,18,36.0,36.0,2.0,13.693333333333332,0.0,0,0,0,0,3.0589293747188484,16
Qwen3-30B-Non-Thinking,3,18,32.0,32.0,1.7766666666666666,13.546666666666665,0.0,0,0,0,0,3.0945419103313836,17
DeepSeek-R1-Distill-Qwen-14B,3,18,30.0,30.0,1.6666666666666667,11.456666666666665,0.0,0,0,0,0,2.631578947368421,18
Qwen3-8B,3,18,30.0,30.0,1.6666666666666667,18.043333333333333,0.0,0,0,0,0,2.631578947368421,19
Qwen3-4B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,7.056666666666667,0.0,0,0,0,0,2.631578947368421,20
Qwen3-32B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,13.453333333333331,0.0,0,0,0,0,2.631578947368421,21
Qwen3-14B-Non-Thinking,3,18,21.0,21.0,1.1666666666666667,6.693333333333334,0.0,0,0,0,0,2.631578947368421,22
Llama-3.3-70B-Instruct,3,18,21.0,21.0,1.1666666666666667,9.223333333333333,0.0,0,0,0,0,2.631578947368421,23
Mistral-Small-3.1-24B-2503,3,18,21.0,21.0,1.1666666666666667,7.256666666666667,0.0,0,0,0,0,2.631578947368421,24
deepseek-chat,3,18,21.0,21.0,1.1666666666666667,16.333333333333332,0.0,0,0,0,0,2.217348927875244,25
Qwen3-8B-Non-Thinking,3,18,20.0,20.0,1.11,10.323333333333334,0.0,0,0,0,0,2.217348927875244,26
Codestral-22B-v0.1,3,18,9.0,9.0,0.5,3.7566666666666664,0.0,0,0,0,0,0.0,27
DeepSeek-Coder-V2-Lite-Instruct,3,18,9.0,9.0,0.5,5.7700000000000005,0.0,0,0,0,0,0.0,28
DeepSeek-R1-Distill-Qwen-7B,3,18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,29
DeepSeek-R1-Distill-Llama-8B,3,18,0.0,0.0,0.0,0.7033333333333333,0.0,0,0,0,0,0.0,30
Qwen2.5-Coder-7B-Instruct,3,18,0.0,0.0,0.0,2.4099999999999997,0.0,0,0,0,0,0.0,31
Llama-3.1-8B-Instruct,3,18,0.0,0.0,0.0,2.183333333333333,0.0,0,0,0,0,0.0,32
