Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-flash,1,6,189.0,189.0,31.5,47.53,16.669999999999998,0,1,0,1,80.9278350515464,1
DeepSeek-R1-Distill-Llama-70B,1,6,179.0,179.0,29.83,40.25,16.669999999999998,0,1,0,1,77.83505154639175,2
gpt-o3-mini-high,1,6,163.0,163.0,27.17,47.6,0.0,0,0,1,1,70.10309278350516,3
gemini-2.5-pro,1,6,154.0,154.0,25.67,40.69,16.669999999999998,0,0,1,1,67.01030927835052,4
Mistral-Small-3.1-24B-2503,1,6,113.0,113.0,18.83,28.610000000000003,16.669999999999998,0,0,1,1,53.09278350515464,5
Mistral-Large-Instruct-2411,1,6,107.0,107.0,17.83,26.229999999999997,16.669999999999998,0,0,1,1,51.03092783505155,6
Qwen2.5-Coder-14B-Instruct,1,6,107.0,107.0,17.83,22.87,16.669999999999998,0,0,1,1,51.03092783505155,7
deepseek-reasoner,1,6,102.0,102.0,17.0,31.540000000000003,0.0,0,0,0,0,50.0,8
Qwen3-8B,1,6,100.0,100.0,16.67,26.22,0.0,0,0,0,0,50.0,9
Qwen3-32B,1,6,78.0,78.0,13.0,31.78,0.0,0,0,0,0,40.72164948453608,10
Qwen3-8B-Non-Thinking,1,6,74.0,74.0,12.33,22.29,0.0,0,0,0,0,39.69072164948454,11
Qwen3-14B,1,6,68.0,68.0,11.33,24.420000000000005,0.0,0,0,0,0,36.597938144329895,12
Llama-3.3-70B-Instruct,1,6,57.0,57.0,9.5,30.31,0.0,0,0,0,0,32.98969072164948,13
gpt-4.1,1,6,49.0,49.0,8.17,24.939999999999998,0.0,0,0,0,0,29.38144329896907,14
Qwen3-14B-Non-Thinking,1,6,44.0,44.0,7.330000000000001,19.15,0.0,0,0,0,0,27.835051546391753,15
Qwen3-30B,1,6,41.0,41.0,6.830000000000001,19.410000000000004,0.0,0,0,0,0,26.288659793814432,16
Llama-3.1-8B-Instruct,1,6,39.0,39.0,6.5,14.56,0.0,0,0,0,0,24.742268041237114,17
Codestral-22B-v0.1,1,6,32.0,32.0,5.33,3.3099999999999996,0.0,0,0,0,0,19.072164948453608,18
Qwen3-32B-Non-Thinking,1,6,30.0,30.0,5.0,17.07,0.0,0,0,0,0,18.04123711340206,19
DeepSeek-R1-Distill-Qwen-32B,1,6,28.0,28.0,4.67,10.79,0.0,0,0,0,0,15.463917525773196,20
Qwen2.5-72B,1,6,20.0,20.0,3.33,10.24,0.0,0,0,0,0,10.309278350515465,21
Qwen2.5-Coder-32B-Instruct,1,6,20.0,20.0,3.33,17.6,0.0,0,0,0,0,10.309278350515465,22
deepseek-chat,1,6,15.0,15.0,2.5,19.05,0.0,0,0,0,0,9.278350515463918,23
DeepSeek-Coder-V2-Lite-Instruct,1,6,11.0,11.0,1.83,11.69,0.0,0,0,0,0,8.762886597938145,24
Qwen3-4B,1,6,9.0,9.0,1.5,12.659999999999998,0.0,0,0,0,0,8.24742268041237,25
QwQ-32B,1,6,2.0,2.0,0.33,9.43,0.0,0,0,0,0,4.639175257731959,26
Qwen3-30B-Non-Thinking,1,6,2.0,2.0,0.33,4.79,0.0,0,0,0,0,4.639175257731959,27
DeepSeek-R1-Distill-Qwen-7B,1,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.639175257731959,28
DeepSeek-R1-Distill-Llama-8B,1,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.639175257731959,29
Qwen3-4B-Non-Thinking,1,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.639175257731959,30
Qwen2.5-Coder-7B-Instruct,1,6,0.0,0.0,0.0,2.38,0.0,0,0,0,0,4.639175257731959,31
DeepSeek-R1-Distill-Qwen-14B,1,6,0.0,0.0,0.0,8.71,0.0,0,0,0,0,4.639175257731959,32
