Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,2,11,374.0,374.0,33.99818181818182,52.68909090909091,7.577272727272728,0,0,1,1,52.23214285714286,1
gpt-o3-mini-high,2,11,323.0,323.0,29.361818181818183,46.162727272727274,18.18,0,0,1,1,39.88095238095238,2
gemini-2.5-flash,2,11,264.0,264.0,24.0,47.510909090909095,9.092727272727274,0,0,0,0,33.18452380952381,3
Qwen3-32B-Non-Thinking,2,11,134.0,134.0,12.183636363636365,22.816363636363633,9.092727272727274,0,0,0,0,12.202380952380953,4
Qwen2.5-Coder-32B-Instruct,2,11,110.0,110.0,9.998181818181818,18.433636363636364,9.092727272727274,0,0,0,0,5.357142857142857,5
gpt-4.1,2,11,110.0,110.0,10.001818181818182,30.91545454545455,0.0,0,0,0,0,8.630952380952381,6
deepseek-chat,2,11,43.0,43.0,3.909090909090909,23.52636363636364,0.0,0,0,0,0,4.166666666666667,7
Qwen3-32B,2,11,40.0,40.0,3.6363636363636362,25.686363636363634,0.0,0,0,0,0,4.166666666666667,8
deepseek-reasoner,2,11,40.0,40.0,3.6363636363636362,25.660909090909094,0.0,0,0,0,0,4.166666666666667,9
Qwen3-14B-Non-Thinking,2,11,30.0,30.0,2.727272727272727,15.974545454545455,0.0,0,0,0,0,0.0,10
Qwen3-30B,2,11,26.0,26.0,2.361818181818182,17.020909090909093,0.0,0,0,0,0,0.0,11
QwQ-32B,2,11,25.0,25.0,2.272727272727273,17.219090909090912,0.0,0,0,0,0,4.166666666666667,12
Qwen3-30B-Non-Thinking,2,11,24.0,24.0,2.1818181818181817,13.204545454545455,0.0,0,0,0,0,0.0,13
Qwen3-8B,2,11,22.0,22.0,2.001818181818182,20.200909090909093,0.0,0,0,0,0,0.0,14
Llama-3.3-70B-Instruct,2,11,20.0,20.0,1.8163636363636364,8.293636363636365,0.0,0,0,0,0,0.0,15
Qwen3-8B-Non-Thinking,2,11,20.0,20.0,1.8163636363636364,10.0,0.0,0,0,0,0,0.0,16
Qwen3-4B-Non-Thinking,2,11,17.0,17.0,1.5436363636363637,6.52090909090909,0.0,0,0,0,0,0.0,17
Qwen2.5-Coder-14B-Instruct,2,11,16.0,16.0,1.4563636363636363,11.516363636363634,0.0,0,0,0,0,0.0,18
Qwen3-4B,2,11,16.0,16.0,1.4563636363636363,18.19363636363637,0.0,0,0,0,0,0.0,19
Codestral-22B-v0.1,2,11,16.0,16.0,1.4563636363636363,11.256363636363636,0.0,0,0,0,0,0.0,20
Mistral-Large-Instruct-2411,2,11,13.0,13.0,1.1836363636363636,11.086363636363638,0.0,0,0,0,0,0.0,21
Qwen2.5-72B,2,11,10.0,10.0,0.9109090909090909,10.37909090909091,0.0,0,0,0,0,0.0,22
Mistral-Small-3.1-24B-2503,2,11,10.0,10.0,0.9109090909090909,9.72909090909091,0.0,0,0,0,0,0.0,23
Qwen3-14B,2,11,6.0,6.0,0.5454545454545454,11.758181818181814,0.0,0,0,0,0,0.0,24
DeepSeek-R1-Distill-Qwen-32B,2,11,6.0,6.0,0.5454545454545454,11.572727272727274,0.0,0,0,0,0,0.0,25
DeepSeek-R1-Distill-Llama-70B,2,11,6.0,6.0,0.5454545454545454,13.084545454545458,0.0,0,0,0,0,0.0,26
DeepSeek-R1-Distill-Qwen-7B,2,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,27
DeepSeek-R1-Distill-Llama-8B,2,11,0.0,0.0,0.0,1.0009090909090907,0.0,0,0,0,0,0.0,28
Qwen2.5-Coder-7B-Instruct,2,11,0.0,0.0,0.0,1.651818181818182,0.0,0,0,0,0,0.0,29
Llama-3.1-8B-Instruct,2,11,0.0,0.0,0.0,3.7218181818181817,0.0,0,0,0,0,0.0,30
DeepSeek-R1-Distill-Qwen-14B,2,11,0.0,0.0,0.0,3.326363636363636,0.0,0,0,0,0,0.0,31
DeepSeek-Coder-V2-Lite-Instruct,2,11,0.0,0.0,0.0,4.270909090909091,0.0,0,0,0,0,0.0,32
