Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,2,12,294.0,294.0,24.5,46.295,0.0,0,0,1,1,36.77178845975734,1
Qwen3-32B,2,12,192.0,192.0,16.0,30.509999999999998,0.0,0,0,0,0,21.732888765397796,2
gpt-o3-mini-high,2,12,179.0,179.0,14.920000000000002,24.315,0.0,0,0,0,0,20.3551912568306,3
gemini-2.5-flash,2,12,175.0,175.0,14.585,30.294999999999998,0.0,0,0,0,0,18.475039362785957,4
Qwen3-30B,2,12,137.0,137.0,11.415,23.169999999999998,0.0,0,0,0,0,13.964527183476893,5
deepseek-reasoner,2,12,133.0,133.0,11.085,27.220000000000006,0.0,0,0,0,0,11.954709641567103,6
Qwen3-14B,2,12,125.0,125.0,10.415000000000001,22.57,0.0,0,0,0,0,12.00101880151894,7
Qwen3-30B-Non-Thinking,2,12,111.0,111.0,9.25,18.740000000000002,0.0,0,0,0,0,12.491895897008428,8
Qwen3-8B,2,12,105.0,105.0,8.75,17.99,0.0,0,0,0,0,8.949245160692785,9
deepseek-chat,2,12,99.0,99.0,8.25,19.325,0.0,0,0,0,0,11.22997128832083,10
QwQ-32B,2,12,92.0,92.0,7.665,14.734999999999998,0.0,0,0,0,0,10.9521163286098,11
Qwen2.5-Coder-32B-Instruct,2,12,76.0,76.0,6.330000000000001,18.029999999999998,0.0,0,0,0,0,7.986014633694545,12
DeepSeek-R1-Distill-Llama-70B,2,12,75.0,75.0,6.25,20.97,0.0,0,0,0,0,5.533944614244698,13
gpt-4.1,2,12,74.0,74.0,6.165,15.659999999999998,0.0,0,0,0,0,7.407150134296564,14
Mistral-Large-Instruct-2411,2,12,66.0,66.0,5.5,14.280000000000001,0.0,0,0,0,0,7.712790589978698,15
Qwen3-14B-Non-Thinking,2,12,61.0,61.0,5.085,12.490000000000002,0.0,0,0,0,0,7.006575900713161,16
Qwen3-4B,2,12,50.0,50.0,4.165,12.485000000000001,0.0,0,0,0,0,3.7255719181254054,17
Qwen2.5-72B,2,12,47.0,47.0,3.9149999999999996,9.785,0.0,0,0,0,0,3.4523478744095586,18
Llama-3.3-70B-Instruct,2,12,44.0,44.0,3.6649999999999996,10.635,0.0,0,0,0,0,3.179123830693711,19
Qwen3-32B-Non-Thinking,2,12,44.0,44.0,3.67,10.975,0.0,0,0,0,0,4.600815041215153,20
Qwen3-8B-Non-Thinking,2,12,42.0,42.0,3.5,8.235000000000001,0.0,0,0,0,0,3.4523478744095586,21
DeepSeek-R1-Distill-Qwen-32B,2,12,40.0,40.0,3.3349999999999995,9.82,0.0,0,0,0,0,3.8946003519496157,22
Qwen2.5-Coder-14B-Instruct,2,12,25.0,25.0,2.085,10.13,0.0,0,0,0,0,2.905899786977864,23
DeepSeek-R1-Distill-Qwen-14B,2,12,25.0,25.0,2.08,6.99,0.0,0,0,0,0,2.632675743262017,24
Mistral-Small-3.1-24B-2503,2,12,22.0,22.0,1.835,6.890000000000001,0.0,0,0,0,0,2.769287765119941,25
DeepSeek-Coder-V2-Lite-Instruct,2,12,22.0,22.0,1.835,7.6,0.0,0,0,0,0,2.769287765119941,26
Qwen3-4B-Non-Thinking,2,12,22.0,22.0,1.835,6.245,0.0,0,0,0,0,2.769287765119941,27
Qwen2.5-Coder-7B-Instruct,2,12,12.0,12.0,1.0,5.5600000000000005,0.0,0,0,0,0,2.222839677688247,28
Llama-3.1-8B-Instruct,2,12,12.0,12.0,1.0,5.6899999999999995,0.0,0,0,0,0,2.222839677688247,29
DeepSeek-R1-Distill-Qwen-7B,2,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6763915902565527,30
DeepSeek-R1-Distill-Llama-8B,2,12,0.0,0.0,0.0,1.755,0.0,0,0,0,0,1.6763915902565527,31
Codestral-22B-v0.1,2,12,0.0,0.0,0.0,1.6649999999999998,0.0,0,0,0,0,1.6763915902565527,32
