Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Rounds Completed,Rounds,Avg Human Percentile,Competition Rank
gemini-2.5-pro,6,32,326.0,326.0,60.58,65.38,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.93,1
gpt-o3-mini-high,6,32,320.0,320.0,59.33,62.23,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",83.13,2
gemini-2.5-flash,6,32,292.0,292.0,54.08,58.28,50.0,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.82,3
deepseek-reasoner,6,32,281.0,281.0,53.13,56.23,50.0,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.93,4
Qwen3-32B,6,32,271.0,271.0,51.38,54.87,46.88,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.93,5
Qwen3-14B,6,32,251.0,251.0,47.12,51.76,40.63,2,1,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.85,6
Qwen3-8B,6,32,253.0,253.0,47.79,50.58,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.87,7
Qwen3-30B,6,32,243.0,243.0,46.38,51.37,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.75,8
QwQ-32B,6,32,239.0,239.0,45.13,47.69,37.5,1,1,3,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.82,9
deepseek-chat,6,32,233.0,233.0,46.29,50.29,43.75,3,0,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.68,10
gpt-4.1,6,32,246.0,246.0,47.42,50.13,43.75,2,0,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.61,11
DeepSeek-R1-Distill-Qwen-32B,6,32,201.0,201.0,40.29,44.35,31.25,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.59,12
Qwen3-4B,6,32,197.0,197.0,39.38,47.68,31.25,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.58,13
DeepSeek-R1-Distill-Llama-70B,6,32,207.0,207.0,40.54,43.32,37.5,1,1,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.56,14
Mistral-Large-Instruct-2411,6,32,175.0,175.0,35.54,38.91,28.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.5,15
Qwen3-32B-Non-Thinking,6,32,172.0,172.0,35.42,39.51,28.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.52,16
Qwen2.5-Coder-14B-Instruct,6,32,172.0,172.0,35.42,40.35,29.69,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.52,17
Qwen2.5-Coder-32B-Instruct,6,32,170.0,170.0,35.17,38.64,28.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.52,18
Qwen2.5-72B,6,32,170.0,170.0,34.92,40.72,29.69,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.51,19
DeepSeek-R1-Distill-Qwen-14B,6,32,164.0,164.0,34.17,36.42,31.25,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.49,20
Mistral-Small-3.1-24B-2503,6,32,150.0,150.0,31.17,33.26,28.12,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.44,21
Codestral-22B-v0.1,6,32,156.0,156.0,32.34,35.02,28.12,0,1,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.47,22
Qwen3-4B-Non-Thinking,6,32,149.0,149.0,31.04,33.76,28.12,0,1,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.44,23
Llama-3.3-70B-Instruct,6,32,145.0,145.0,29.71,34.08,25.0,0,0,3,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.41,24
Qwen3-30B-Non-Thinking,6,32,152.0,152.0,31.17,37.91,26.56,1,0,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.45,25
Llama-3.1-8B-Instruct,6,32,123.0,123.0,25.54,27.62,21.88,0,1,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.33,26
DeepSeek-R1-Distill-Llama-8B,6,32,117.0,117.0,24.38,23.9,21.88,0,0,2,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.32,27
Qwen2.5-Coder-7B-Instruct,6,32,130.0,130.0,26.58,29.9,18.75,0,1,0,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.35,28
