Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,3,9,695.0,695.0,77.22,85.46999999999998,66.66666666666666,2,1,0,3,93.98696174300909,1
gpt-o3-mini-high,3,9,595.0,595.0,66.11,76.16333333333334,44.443333333333335,1,2,0,3,91.14134555254871,2
gemini-2.5-flash,3,9,584.0,584.0,64.89,79.82666666666667,55.556666666666665,1,2,0,3,89.80929612228071,3
gpt-4.1,3,9,470.0,470.0,52.22333333333333,67.99333333333333,33.33333333333333,1,1,1,3,82.04777004853376,4
Qwen3-14B,3,9,404.0,404.0,44.89,63.949999999999996,33.33333333333333,0,1,2,3,72.01478702151091,5
Qwen3-30B,3,9,380.0,380.0,42.22333333333333,58.81333333333334,33.33333333333333,0,1,2,3,69.45002462658897,6
Qwen3-32B,3,9,411.0,411.0,45.666666666666664,65.80666666666667,33.33333333333333,1,1,0,2,71.5175512869468,7
deepseek-reasoner,3,9,439.0,439.0,48.78,62.22333333333334,44.443333333333335,1,0,1,2,67.33407489803486,8
deepseek-chat,3,9,305.0,305.0,33.89,51.18333333333332,22.223333333333336,0,1,1,2,58.481231218767114,9
DeepSeek-R1-Distill-Llama-70B,3,9,322.0,322.0,35.77666666666667,51.83,22.220000000000002,0,0,2,2,64.04573351263703,10
QwQ-32B,3,9,322.0,322.0,35.78,55.68666666666666,22.220000000000002,0,0,2,2,58.79916324938157,11
Qwen3-8B,3,9,269.0,269.0,29.89,39.78666666666666,11.110000000000001,0,0,2,2,55.22111356454656,12
DeepSeek-R1-Distill-Qwen-32B,3,9,214.0,214.0,23.776666666666667,38.866666666666674,0.0,0,0,2,2,49.78278795123382,13
DeepSeek-R1-Distill-Qwen-14B,3,9,158.0,158.0,17.55333333333333,26.490000000000002,0.0,0,0,2,2,45.15077559920088,14
Qwen3-32B-Non-Thinking,3,9,160.0,160.0,17.776666666666667,35.82666666666667,0.0,0,0,1,1,45.56804409542942,15
Qwen2.5-72B,3,9,142.0,142.0,15.780000000000001,32.10333333333333,11.110000000000001,0,0,1,1,43.78524507606573,16
Llama-3.3-70B-Instruct,3,9,135.0,135.0,14.996666666666666,35.446666666666665,0.0,0,0,1,1,43.949053398192575,17
Qwen3-4B,3,9,118.0,118.0,13.11,27.46,0.0,0,0,1,1,41.402276714314965,18
Mistral-Small-3.1-24B-2503,3,9,107.0,107.0,11.89,25.673333333333332,11.110000000000001,0,0,1,1,37.46340599560595,19
Qwen3-4B-Non-Thinking,3,9,100.0,100.0,11.11,15.339999999999998,11.110000000000001,0,0,1,1,36.965893557795006,20
Qwen3-14B-Non-Thinking,3,9,83.0,83.0,9.223333333333334,21.006666666666668,0.0,0,0,1,1,38.322016170537744,21
Qwen2.5-Coder-14B-Instruct,3,9,64.0,64.0,7.113333333333334,18.87,0.0,0,0,1,1,35.207444424152875,22
Mistral-Large-Instruct-2411,3,9,59.0,59.0,6.5566666666666675,23.356666666666673,0.0,0,0,1,1,33.48330649311839,23
Qwen3-8B-Non-Thinking,3,9,44.0,44.0,4.89,11.636666666666667,0.0,0,0,0,0,30.49823186625272,24
DeepSeek-Coder-V2-Lite-Instruct,3,9,37.0,37.0,4.11,5.576666666666666,0.0,0,0,0,0,29.50320699063083,25
Codestral-22B-v0.1,3,9,29.0,29.0,3.223333333333333,13.763333333333334,0.0,0,0,0,0,29.00569455281988,26
Qwen3-30B-Non-Thinking,3,9,28.0,28.0,3.1100000000000003,11.360000000000001,0.0,0,0,0,0,27.033630512620434,27
Llama-3.1-8B-Instruct,3,9,24.0,24.0,2.6666666666666665,7.919999999999999,0.0,0,0,0,0,29.00569455281988,28
Qwen2.5-Coder-32B-Instruct,3,9,16.0,16.0,1.7766666666666666,16.373333333333335,0.0,0,0,0,0,27.513157239387045,29
DeepSeek-R1-Distill-Qwen-7B,3,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21.045495547844755,30
DeepSeek-R1-Distill-Llama-8B,3,9,0.0,0.0,0.0,0.36,0.0,0,0,0,0,21.045495547844755,31
