problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.200,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.020,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,13.33%,17.14%,0.080,3.6171875,,2,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.110,14.2265625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,4,26.67%,35.40%,0.140,4.39453125,,2,2,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,20.00%,23.21%,4.810,91.78515625,,5,0,0,0,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.410,81.72265625,,3,4,5,6,7,0,0
d1p3,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,4.050,1228.07421875,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.010,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,4,16.00%,26.26%,4.810,28.13671875,,0,4,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,5,20.00%,32.18%,4.810,7.7890625,,3,2,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.010,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.030,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.020,2.48828125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,1,4,5,5,0,0,0
TOTAL,,150,,58.51%,,,50.00%,,,,,,,
