problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,Llama-3.3-70B-Instruct,MEMORY_LIMIT_EXCEEDED,0,0.00%,26.67%,0.930,914.95703125
2023-sp_Belt_Conveyor,Llama-3.3-70B-Instruct,TIME_LIMIT_EXCEEDED,1,1.00%,12.90%,0.220,11.96875
2023-sp_Council,Llama-3.3-70B-Instruct,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,3.600,17.28515625
2023-sp_Mizuyokan_2,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,15.97%,0.150,0
2023-sp_Tourism,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.160,5.6796875
2023-sp_Super_Dango_Maker,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,5.95%,0.210,34.8828125
