solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
2023-sp_Tourism_gpt-oss-120b_0.cpp,TIME_LIMIT_EXCEEDED,28,28.00%,81.22%,4.820,26.69140625,5,5,0,18,0,0
2023-sp_Tourism_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,28,28.00%,81.22%,4.820,26.30078125,5,5,0,18,0,0
2023-sp_Tourism_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.080,10.51953125,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_3.cpp,TIME_LIMIT_EXCEEDED,35,35.00%,88.28%,4.840,28.00390625,5,5,7,18,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_5.cpp,TIME_LIMIT_EXCEEDED,35,35.00%,88.28%,4.840,28.125,5,5,7,18,0,0
2023-sp_Tourism_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,9.80078125,0,0,0,0,0,0
2023-sp_Tourism_gpt-oss-120b_7.cpp,TIME_LIMIT_EXCEEDED,28,28.00%,81.22%,4.810,26.4296875,5,5,0,18,0,0
