solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
2023-sp_Chorus_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,6.67%,0.020,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Chorus_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
