solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
2023-sp_Mizuyokan_2_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.090,17.0234375,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,14.02734375,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.060,19.08984375,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.030,3.046875,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,3.046875,0,0,0,0,0,0
2023-sp_Mizuyokan_2_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.060,11.09375,0,0,0,0,0,0
