problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,2.410,55.6875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,TIME_LIMIT_EXCEEDED,48,48.00%,81.08%,1.210,16.51171875,,0.0,14.0,0,0,0,0,0,19.0,0,0,15.0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.120,0.00390625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.380,1.55859375,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,10,10.00%,22.43%,0.180,6.71484375,,0.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,18,18.00%,50.00%,0.810,14.0078125,,0,0,0,0,0,0,0,5.0,6.0,7.0,0,0,0,0,0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.170,6.97265625,,0.0,23.0,0,0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.5546875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,29,29.00%,64.61%,8.460,5.16796875,,0.0,10.0,0,0,0,0,0,8.0,11.0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.490,89.72265625,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.700,267.84375,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.340,21.77734375,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,RUNTIME_ERROR,12,12.00%,4.39%,0.180,13.67578125,,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0
Ultrafast_train,MEMORY_LIMIT_EXCEEDED,42,42.00%,85.96%,0.490,257.4765625,,0.0,17.0,0,0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,763,,54.54%,,,35.29%,,,,,,,,,,,,,,,
