problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,32,32.00%,73.05%,2.450,38.16796875,,0.0,0,0,0,0,0,0,0,8.0,13.0,11.0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,57,57.00%,62.16%,0.170,20.73828125,,0.0,0,0,0,0,0,0,19.0,17.0,21.0,0,0,0,0,0
The_arithmetic_exercise,TIME_LIMIT_EXCEEDED,58,58.00%,78.47%,2.410,5.76171875,,0.0,0,0,0,0,0,0,8.0,11.0,9.0,8.0,10.0,12.0,0,0
Alice_Bob_and_two_arrays,TIME_LIMIT_EXCEEDED,62,62.00%,77.58%,2.980,260.25,,0.0,13.0,0,0,0,0,0,0,11.0,8.0,10.0,7.0,6.0,7.0,0
Card_Flip,RUNTIME_ERROR,19,19.00%,43.70%,0.740,33.77734375,,0.0,0,0,0,0,0,0,0,9.0,10.0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,59,59.00%,92.14%,0.580,46.28125,,0,4.0,0,0,0,0,0,5.0,6.0,7.0,11.0,9.0,10.0,7.0,0
Best_Runner,RUNTIME_ERROR,60,60.00%,52.82%,0.320,117.1171875,,0.0,23.0,0,0,0,0,0,10.0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.8125,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,43,43.00%,75.70%,6.340,28.9609375,,0.0,10.0,0,0,0,0,0,8.0,0,14.0,0,11.0,0,0,0
Road_Lighting,RUNTIME_ERROR,14,14.00%,38.66%,0.460,8.19921875,,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.440,47.4765625,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.730,316.62890625,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.290,21.7421875,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.590,227.07421875,,0.0,8.0,0,0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.180,18.38671875,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1004,,70.25%,,,35.29%,,,,,,,,,,,,,,,
