solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
2023-sp_Passport_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Passport_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Passport_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Passport_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Passport_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2023-sp_Passport_gpt-oss-120b_3.cpp,RUNTIME_ERROR,6,6.00%,43.28%,0.570,148.89453125,6,0,0,0,0
2023-sp_Passport_gpt-oss-120b_4.cpp,RUNTIME_ERROR,6,6.00%,43.28%,0.560,142.16796875,6,0,0,0,0
2023-sp_Passport_gpt-oss-120b_5.cpp,RUNTIME_ERROR,6,6.00%,43.28%,0.420,69.58203125,6,0,0,0,0
2023-sp_Passport_gpt-oss-120b_6.cpp,RUNTIME_ERROR,6,6.00%,43.28%,1.000,138.41796875,6,0,0,0,0
2023-sp_Passport_gpt-oss-120b_7.cpp,RUNTIME_ERROR,6,6.00%,43.28%,0.500,156.875,6,0,0,0,0
