problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-120b_sp4,ACCEPTED,100,100.00%,100.00%,0.500,70.125
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,gpt-oss-120b_sp4,RUNTIME_ERROR,6,6.00%,43.28%,0.420,69.58203125
2023-sp_Belt_Conveyor,gpt-oss-120b_sp4,RUNTIME_ERROR,1,1.00%,16.13%,0.710,11.74609375
2023-sp_Council,gpt-oss-120b_sp4,TIME_LIMIT_EXCEEDED,78,78.00%,98.87%,3.660,20.375
2023-sp_Mizuyokan_2,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,0.00%,0.180,4.91015625
2023-sp_Chorus,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,27.47%,0.000,0
2023-sp_Cookies,gpt-oss-120b_sp4,RUNTIME_ERROR,13,13.00%,74.28%,0.160,1.80859375
2023-sp_Tourism,gpt-oss-120b_sp4,ACCEPTED,100,100.00%,100.00%,4.360,35.41796875
2023-sp_Super_Dango_Maker,gpt-oss-120b_sp4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-oss-120b_sp4,RUNTIME_ERROR,50,50.00%,79.13%,0.400,85.33984375
2023-sp_Bitaro’s_travel,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,14.52%,0.150,0.00390625
