problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen3-32B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen3-32B-Non-Thinking,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,Qwen3-32B-Non-Thinking,TIME_LIMIT_EXCEEDED,0,0.00%,28.33%,2.400,3.625
2023-sp_Belt_Conveyor,Qwen3-32B-Non-Thinking,RUNTIME_ERROR,1,1.00%,12.90%,1.140,17.20703125
2023-sp_Council,Qwen3-32B-Non-Thinking,TIME_LIMIT_EXCEEDED,8,8.00%,55.93%,3.670,17.28125
2023-sp_Mizuyokan_2,Qwen3-32B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Qwen3-32B-Non-Thinking,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Qwen3-32B-Non-Thinking,ACCEPTED,100,100.00%,100.00%,0.160,2.171875
2023-sp_Tourism,Qwen3-32B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Qwen3-32B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen3-32B-Non-Thinking,RUNTIME_ERROR,0,0.00%,5.95%,0.180,15.7421875
