competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen2.5-Coder-14B-Instruct,5460,15.30%,0.54,90.52,4.09%
APIO-2023,Qwen2.5-Coder-14B-Instruct,11,15.38%,1.11,1629.72,0.00%
APIO-2024,Qwen2.5-Coder-14B-Instruct,0,1.56%,0.09,4.55,0.00%
BOI-2023,Qwen2.5-Coder-14B-Instruct,17,13.78%,0.01,1.96,0.00%
BOI-2024,Qwen2.5-Coder-14B-Instruct,21,13.27%,0.22,1.38,0.00%
BOI-2025,Qwen2.5-Coder-14B-Instruct,0,3.58%,0.08,8.33,0.00%
CCO-2023,Qwen2.5-Coder-14B-Instruct,71,35.66%,0.58,68.14,18.75%
CCO-2024,Qwen2.5-Coder-14B-Instruct,101,44.67%,0.71,16.84,40.00%
CEOI-2023,Qwen2.5-Coder-14B-Instruct,0,0.22%,0.02,2.63,0.00%
CEOI-2024,Qwen2.5-Coder-14B-Instruct,16,20.93%,1.93,9.52,0.00%
COCI-2023,Qwen2.5-Coder-14B-Instruct,380,25.81%,0.55,48.66,12.00%
COCI-2024,Qwen2.5-Coder-14B-Instruct,0,0.00%,0.00,0.00,0.00%
COCI-2025,Qwen2.5-Coder-14B-Instruct,252,19.91%,0.47,2.34,8.00%
EGOI-2023,Qwen2.5-Coder-14B-Instruct,53,13.10%,0.06,5.64,0.00%
EGOI-2024,Qwen2.5-Coder-14B-Instruct,16,14.41%,0.18,1.20,0.00%
EJOI-2023,Qwen2.5-Coder-14B-Instruct,5,3.86%,0.41,6.21,0.00%
EJOI-2024,Qwen2.5-Coder-14B-Instruct,68,18.67%,1.34,13.76,0.00%
IATI-2024,Qwen2.5-Coder-14B-Instruct,45,4.75%,0.36,8.20,0.00%
IOI-2023,Qwen2.5-Coder-14B-Instruct,0,5.52%,0.68,7.78,0.00%
IOI-2024,Qwen2.5-Coder-14B-Instruct,25,14.74%,0.94,751.35,0.00%
JOI-2023,Qwen2.5-Coder-14B-Instruct,34,17.11%,0.52,4.04,0.00%
JOI-2024,Qwen2.5-Coder-14B-Instruct,17,11.54%,0.63,3.12,0.00%
NOINordic-2023,Qwen2.5-Coder-14B-Instruct,59,42.10%,1.95,13.60,0.00%
NOINordic-2024,Qwen2.5-Coder-14B-Instruct,5,12.23%,0.15,4.32,0.00%
NOINordic-2025,Qwen2.5-Coder-14B-Instruct,0,2.28%,0.12,2.16,0.00%
OOI-2023,Qwen2.5-Coder-14B-Instruct,451,35.90%,0.41,2.93,11.76%
OOI-2024,Qwen2.5-Coder-14B-Instruct,363,30.66%,1.24,37.18,17.65%
RMI-2023,Qwen2.5-Coder-14B-Instruct,0,0.00%,0.00,0.00,0.00%
RMI-2024,Qwen2.5-Coder-14B-Instruct,107,22.87%,0.17,79.73,16.67%
USACO-2023,Qwen2.5-Coder-14B-Instruct,1399,10.91%,0.45,32.74,2.08%
USACO-2024,Qwen2.5-Coder-14B-Instruct,1436,11.37%,0.63,15.35,0.00%
USACO-2025,Qwen2.5-Coder-14B-Instruct,508,7.43%,0.78,22.88,0.00%
