competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1028,269,347,79,121,1310,79,175
APIO-2023,0,0,5,0,6,12,0,1
APIO-2024,3,0,0,0,12,9,0,0
BOI-2023,3,0,17,1,1,25,0,1
BOI-2024,13,0,2,1,1,30,0,1
BOI-2025,0,0,6,0,0,38,0,4
CCO-2023,43,0,4,1,0,65,0,15
CCO-2024,65,0,4,1,2,38,0,18
CEOI-2023,0,0,12,3,11,21,1,0
CEOI-2024,2,0,0,0,2,39,0,5
COCI-2023,110,0,4,6,3,60,8,9
COCI-2024,88,5,16,3,3,78,0,7
COCI-2025,88,2,17,6,6,65,16,0
EGOI-2023,15,0,5,0,0,36,8,0
EGOI-2024,8,0,4,0,0,42,9,1
EJOI-2023,1,0,10,0,4,26,0,7
EJOI-2024,22,0,9,1,0,15,0,1
IATI-2024,16,6,9,2,1,40,5,9
IOI-2023,0,0,2,1,0,42,0,3
IOI-2024,0,0,9,1,1,35,0,2
JOI-2023,18,0,17,2,9,95,2,17
JOI-2024,8,0,25,0,22,85,3,17
JOI-2025,11,0,3,0,2,18,0,6
NOINordic-2023,13,0,5,0,0,5,1,0
NOINordic-2024,7,0,1,0,0,16,0,0
NOINordic-2025,4,0,6,0,1,13,0,0
OOI-2023,28,0,18,9,0,70,4,7
OOI-2024,34,0,8,6,0,64,18,6
RMI-2023,9,0,5,4,3,21,2,4
RMI-2024,4,0,12,0,1,24,2,5
USACO-2023,184,92,30,14,7,50,0,7
USACO-2024,114,95,58,11,18,72,0,16
USACO-2025,117,69,24,6,5,61,0,6
