problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen3-4B,RUNTIME_ERROR,0,0.00%,13.33%,0.150,0
2023-sp_Passport,Qwen3-4B,RUNTIME_ERROR,6,6.00%,43.28%,0.170,6.453125
2023-sp_Belt_Conveyor,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Council,Qwen3-4B,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.610,18.5703125
2023-sp_Mizuyokan_2,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Qwen3-4B,RUNTIME_ERROR,0,0.00%,12.66%,0.150,0
2023-sp_Cookies,Qwen3-4B,RUNTIME_ERROR,13,13.00%,70.88%,0.160,2.3359375
2023-sp_Tourism,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Bitaro’s_travel,Qwen3-4B,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,12.125
