problem,model,status,score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen2.5-Coder-7B-Instruct,RUNTIME_ERROR,0,32.73%,0.000,0
2023-sp_Passport,Qwen2.5-Coder-7B-Instruct,RUNTIME_ERROR,0,22.41%,0.170,2.84765625
2023-sp_Belt_Conveyor,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Council,Qwen2.5-Coder-7B-Instruct,TIME_LIMIT_EXCEEDED,0,0.00%,3.600,17.28515625
2023-sp_Mizuyokan_2,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Chorus,Qwen2.5-Coder-7B-Instruct,RUNTIME_ERROR,0,12.66%,0.000,0
2023-sp_Cookies,Qwen2.5-Coder-7B-Instruct,RUNTIME_ERROR,0,15.97%,0.000,0
2023-sp_Tourism,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Security_Guard,Qwen2.5-Coder-7B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Bitaro’s_travel,Qwen2.5-Coder-7B-Instruct,RUNTIME_ERROR,0,5.17%,0.120,0
