problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.100,5.9375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,4.91015625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,1.37%,0.130,28.38671875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.840,127.359375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.060,1.5546875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.130,1.8125,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,23.64%,22.45%,0.090,4.1328125,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,3.87890625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,16,14.55%,19.23%,0.200,19.08203125,,0,16,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,84.89%,2.440,5.41796875,,10,20,35,0,0
roboti,RUNTIME_ERROR,61,55.45%,68.18%,0.450,75.91015625,,10,13,0,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.1953125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,29,26.36%,26.32%,0.070,3.10546875,,0,0,29,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.080,15.94140625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.150,8.515625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.180,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.00%,0.070,17.3046875,,0,0,0,0,0
TOTAL,,1387,,69.43%,,,60.00%,,,,,
