problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,13,0.00%,0.240,2.046875,,0.8217399999999999,0.8616699999999999,0.9404800000000001,1.01983,1.12545,1.29915,1.46544,1.6630500000000001,1.9933899999999998,2.28261
travel,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,11.24%,0.110,85.8359375,,0,0,0,0,0,0,0,0,0,0
parentheses,RUNTIME_ERROR,0,2.34%,0.060,10.32421875,,0,0,0,0,0,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,0.100,11.375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.030,2.57421875,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,153,14.26%,,,9.09%,,,,,,,,,,
