problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.100,5.1640625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.180,65.578125,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.020,11.09375,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,12,25.00%,0.000,0,,0,12,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.090,1.81640625,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.350,3.6171875,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.080,4.13671875,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,ACCEPTED,110,100.00%,2.000,5.99609375,,10,20,35,45,0
roboti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.070,6.1875,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.080,28.3671875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.180,29.453125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.150,2.5546875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.170,114.47265625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.060,0.00390625,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,1108,54.65%,,,52.00%,,,,,
