solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-ho-t4_Cat_Exercise_Qwen3-14B_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise_Qwen3-14B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
