problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
autobus,RUNTIME_ERROR,0,16.33%,0.070,0,,0,0,0,0,0
karte,RUNTIME_ERROR,18,32.84%,0.490,0.00390625,,18,0,0,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.060,0.00390625,,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
wow,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,33.33%,2.240,9.03515625,,7,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.110,0.00390625,,13,19,18,0,0
benzinska,RUNTIME_ERROR,0,8.00%,0.190,4.39453125,,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,5.13%,0.070,0,,0,0,0,0,0
igre,RUNTIME_ERROR,6,14.29%,0.080,0.00390625,,6,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
blistavost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
skokovi,RUNTIME_ERROR,20,47.92%,0.100,2.84765625,,20,0,0,0,0
hijerarhija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.080,0.00390625,,0,0,0,0,0
TOTAL,,101,10.62%,,,4.00%,,,,,
