Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j5,j5_rel,s1j4,s1j4_rel
gpt-oss-20b-high,75.00,,100.00%,100.00%,0.002,0.57,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-5,75.00,,100.00%,100.00%,0.004,0.88,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-o3-mini-high,75.00,,100.00%,100.00%,0.006,0.57,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-oss-120b-low,75.00,,100.00%,100.00%,0.008,0.60,5,15.00,,15.00,,15.00,,15.00,,15.00,
gemini-2.5-pro,75.00,,100.00%,100.00%,0.010,0.57,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-oss-120b-high,75.00,,100.00%,100.00%,0.010,0.57,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-oss-120b-medium,75.00,100.00%,100.00%,100.00%,0.012,0.37,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
deepseek-chat,75.00,,100.00%,100.00%,0.014,0.57,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-4.1,75.00,,100.00%,100.00%,0.018,0.60,5,15.00,,15.00,,15.00,,15.00,,15.00,
gemini-2.5-flash,66.00,,90.50%,80.00%,0.000,0.00,5,15.00,,15.00,,15.00,,15.00,,6.00,
seed-oss_8192,66.00,,90.50%,80.00%,0.002,0.00,5,15.00,,15.00,,15.00,,15.00,,6.00,
Qwen3-32B,66.00,,90.50%,80.00%,0.004,0.00,5,15.00,,15.00,,15.00,,15.00,,6.00,
seed-oss_-1,63.00,,87.00%,80.00%,0.006,0.00,5,15.00,,15.00,,15.00,,15.00,,3.00,
Qwen3-8B-Non-Thinking,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen3-30B,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
DeepSeek-R1-Distill-Qwen-32B,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen2.5-72B,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen2.5-Coder-32B-Instruct,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
