problem,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,0,1,0,0,0,0,0,-1
2024-open-t2_Heat_Stroke,0,0,0,0,0,0,0,0
2024-open-t3_Library_3,1,0,0,-1,-1,-1,-1,-1
2024-sp_Fish_3,1,0,0,0,0,-1,-1,-1
2024-sp_Ski_2,0,0,0,0,0,0,-1,-1
2024-sp_Board_Game,1,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,1,1,1,0,0,-1,-1,-1
2024-sp_Card_Collection,1,0,0,0,-1,-1,-1,-1
2024-sp_JOI_Tour,1,1,1,1,1,0,0,-1
2024-sp_Tower,1,0,0,0,-1,-1,-1,-1
2024-sp_Escape_Route_2,1,0,1,0,0,0,-1,-1
2024-sp_Island_Hopping,1,0,0,0,0,0,0,0
2024-sp_Table_Tennis,0,0,0,0,0,0,-1,-1
2024-ho-t1_Room_Temperature,0,0,0,0,0,-1,-1,-1
2024-ho-t2_Construction_Project_2,1,1,1,0,-1,-1,-1,-1
2024-ho-t3_Marathon_Race_2,1,1,1,0,0,0,0,-1
2024-ho-t4_Gift_Exchange,1,1,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,0,0,0,0,0,0,0,0
